# source: https://www.youtube.com/watch?v=bTItSDksk10
# video_id: bTItSDksk10
# fetched: 2026-09-23T12:14:44.770Z
# segments: 1338

[00:21:36] あの支出、え、収入引いた分とかっていう
[00:21:40] ような考え方のものではないっていう部分
[00:21:43] もありますので、またちょっとその辺も
[00:21:45] 含めてですね、え、時期近くなりました。
[00:21:48] ま、今からやっといた方がいいとは思うんですけど、シュミュレーションしながらですね、え、どういう形のものについて指定管理でするかというのは再度、え、内部でもちょっと検討の方させていただきたいと思います。ありがとうございます。
[00:22:02] はい。え、他にありませんか?なければ次に進みます。
[00:22:11] え、188ページから2011
[00:22:14] ページまでの第8
[00:22:16] 巻土木費全般についてご発言ください。森本委員。
[00:22:22] はい。えっとページで行きますと
[00:22:26] 198ページ
[00:22:32] 5段下から5
[00:22:33] 段目になります。え、こちらにあります。
[00:22:36] 団地環境整備委託量というところなんです
[00:22:40] けれども、え、147万260円
[00:22:43] 。え、こちらなんですが、えっと、こちら
[00:22:46] 懲越住宅の、え、団地の環境整備という
[00:22:50] ことで、え、委託されてるんだと思います
[00:22:53] が、ま、え、どういった環境かって言うと
[00:22:56] 、多分住宅内の住まいとか、え、公園と
[00:22:59] いうところの環境ということになると思う
[00:23:02] んですが、え、団地の中にあります街当
[00:23:06] などそういったところについても入るのか
[00:23:09] どうかちょっと、え、お尋ねいたします。
[00:23:14] 長施設課長、
[00:23:19] お答えいたします。え、この、え、委託量、整備量ですが、え、団地内の草かりのを、え、軽しております。え、年
[00:23:28] 2回6月9月、え、24
[00:23:31] 弾地の共容部分のみ、え、実施しております。以上です。森本委員
[00:23:40] ました。ありがとうございます。草刈りの
[00:23:43] 整備ということなんですね。あ、はい、
[00:23:45] 分かりました。えっと、実を言いますと、
[00:23:48] えっと、団地の環境という点で該当これに
[00:23:51] 関して、あの、前回、あの、特で出張議会
[00:23:56] というのをやったんですけれども、その際
[00:23:58] 来られました町民の方から、え、団地内の
[00:24:02] 該当がちょっと暗すぎて危ないと防犯
[00:24:05] あまり良くないっていうようなということ
[00:24:08] を耳にいたしました。それで、えっと、
[00:24:11] この
[00:24:13] え、そうですね、上映住宅の中のどこの
[00:24:15] 項目に入るのかちょっと私も分からなかっ
[00:24:18] たんで、今この環境整備っていうところが
[00:24:21] 、ま、入るのかなと思ってそこで質問させ
[00:24:24] ていただいたんですけれども、そういった
[00:24:26] 、えっと、いうことでですね、あの、団地
[00:24:30] の中の、え、証明と言いますか、その辺、
[00:24:33] ま、いろんな町内会によっても皆さんの、
[00:24:36] え、価値観違ってくるとは思うんですが、
[00:24:39] その
[00:24:41] 改めてこう言ったところで、あの、なんて言うんですかね、明るいのがいいとか、もうちょっと暗くして欲しいとかパターンがあるとは思うんです。そういった調査をしていただけるかどうか、その辺をお聞きしたいと思います。
[00:24:57] 施設施設課長[鼻息][咳払い]
[00:24:58] はい、お答えいたします。
[00:25:00] ま、明るいくらいは個人差ございますので
[00:25:03] 、ま、あの、今どこに、えっと、配置され
[00:25:05] てるかは、えっと、図面で抑えてあります
[00:25:09] 。またこれから紐も短くなってきますし、
[00:25:13] またあの、各団地点検して、ま、適正に
[00:25:16] 配置できるように検討したいと思います。
[00:25:18] 以上です。森本委員
[00:25:21] はい、よろしくお願いいたします。
[00:25:23] ありがとうございます。あの、団地内だけ
[00:25:25] ではなくて、以前中学生との意見効果の中
[00:25:28] でもサッカー場とか陸上競技場の方からの
[00:25:32] 帰り道その辺りも非常に暗いんですって
[00:25:35] いう意見もいただきましたので、合わせて
[00:25:38] 町内含めて全体にですね、その辺のえっと
[00:25:42] 調査と言いますか確認もお願いしたいと
[00:25:44] 思います。よろしくお願いいたします。
[00:25:50] 名施設
[00:25:51] [咳]
[00:25:52] は[咳払い]お答えいたします。
[00:25:54] え、団地以外でも、あの、サッカー場ですとか陸場協議技場あの辺もご意見賜まっておりますので、その辺もあの道路の、え、計画等と、ま、考慮して計画していきたいと思っております。以上です。他にありませんか?なければ、え、次に進みます。
[00:26:18] [咳払い]
[00:26:20] え、202ページから207ページまでの
[00:26:25] 第9巻消防費全般についてご発言ください
[00:26:28] 。
[00:26:31] ありませんか?
[00:26:34] なければ次に進みます。え、第10巻教育
[00:26:40] 費に入ります。まず208ページから
[00:26:43] 234ページ中断までの第1項教育総務費
[00:26:48] 、第2項費、第3項中費、第4項園費まで
[00:26:55] についてご発言ください。
[00:26:59] 中村委員
[00:27:02] はい。え、[咳払い]221ページ、ま、
[00:27:05] パソコン借り上げ量ということで多分これ
[00:27:07] 、え、タブレットのことかと思うんです
[00:27:10] けれども、え、タブレット導入されて、ま
[00:27:13] 、え、今投資で、ま、ま、更新が一周する
[00:27:18] ということで、まずタブレット、ま、え、
[00:27:21] すいません。ま、思考報酬にもICTを
[00:27:24] 活用した事業の充実とあります。
[00:27:27] でも実際にですね、学校でどのような利用の仕方があって、ま、どのような学習効果があったのか、それをちょっとお伺いいたしたいと思います。立学校教育課長。
[00:27:46] はい。え、中村委員のご質問にお答えいたします。
[00:27:51] え、ご質問にありましたこのパソコン
[00:27:54] 借り上げ量と記載してあるところでござい
[00:27:56] ますけれども、小学校のお
[00:28:00] これはタブレットの借り上げえ予算の
[00:28:03] ところでよろしいですかね。え、
[00:28:08] という借の予算の計算となってございます
[00:28:14] 。え、
[00:28:18] で、え、学校の授業にこのタブレットを
[00:28:21] どのように利用されてるかと。え、例えば
[00:28:25] ですね、あの、ま、ここの授業で、え、
[00:28:29] 調べ学習、それからあの体育とかですと、
[00:28:34] ま、あの、タブレットを使って、え、自分
[00:28:38] の姿や友達の姿、どういう動きをしてるか
[00:28:41] とってそれを実際に見ながら、あの、どこ
[00:28:45] がいいか悪いか確認するですとか、え、
[00:28:48] 全国学力学習状況調査っていうものも行っ
[00:28:52] ているんですが、え、今現在は、あ、それ
[00:28:55] をテストの部分ですね、え、タブレットを
[00:28:59] 使いながら行っている、ま、その結果が
[00:29:01] 集計されて、え、我々の元にも個人ごとの
[00:29:05] やつが集計されて、え、戻ってくると
[00:29:08] 合わせて、え、全国北海道内との新徳町内
[00:29:13] の子供たちの比較というようなデータが
[00:29:15] こう集約されて戻ってくるような利用に
[00:29:18] 使われております。え、あの、可能性とし
[00:29:22] ては、まだまだ、あの、いろんな使い方が
[00:29:24] 、あ、考えられます。あの、タブレットを
[00:29:28] 使うことが目的ではなくて、あの、いかに
[00:29:30] 学習効率上げるか。子供たちのこれから、
[00:29:33] あの、社会に出て色々な、え、このICT
[00:29:38] の危器を活用した世の中でいかにあの、
[00:29:41] 自分の力が発揮できるかというものを身に
[00:29:43] つけさせるような、あ、ことで、え、学校
[00:29:46] の方に導入されてるものでございます。え
[00:29:50] 、これからもあの色々なあの
[00:29:54] 研修を行いながらですね、え、どのような
[00:29:57] あ、使い方、あ、授業の中に使い方がいい
[00:30:00] かっていうのを進めて、え、よりあの
[00:30:05] レベルアップしていくというような
[00:30:08] 取り組みを継続していきたいと考えており
[00:30:10] ます。以上です。
[00:30:12] 中村委員
[00:30:15] はい。ありがとうございます。タブレット
[00:30:17] を、ま、どのように利用して、ま、どの
[00:30:19] ように効果を上げていくか、ある程度こう
[00:30:21] いったもの検証は必要かと思います。え、
[00:30:23] 例えば、ま、ICTを活用する方法として
[00:30:26] 調べ学習というものもあるんですが、え、
[00:30:30] ま、実際に例えばそういった調べたことで
[00:30:33] 学習能力を上げるというのであれば、
[00:30:35] 例えばですね、習っていない問題を子供に
[00:30:38] 提示して自分たち、ま、グループなりなん
[00:30:40] なりで、ま、解く、ま、そういったものも
[00:30:42] できる。ある程度理解力があればできる。
[00:30:45] そういったものも可能性として考えられる
[00:30:47] かと思います。ただですね、あの、ま、私
[00:30:51] あまり、え、特に小学生、低学年あたりは
[00:30:54] ですね、あまりタブレット事業っていう
[00:30:57] ものは、ま、どうなのかなと考えており
[00:31:00] まして、ま、今多分世界各国でもこういっ
[00:31:02] た、え、タブレット、またICTを活用し
[00:31:05] た事業どう扱っていくか議論されてるかと
[00:31:07] 思います。ま、もちろん、ま、AIを禁止
[00:31:10] するていう週も、あ、アメリカ段階からで
[00:31:11] は出てきているし、ま、タブレットでは
[00:31:13] なく紙に、ま、戻るというところも出てき
[00:31:15] ております。ま、理由としてはですね、
[00:31:17] そのタブレットを使う時に、あの、脳が
[00:31:21] どのぐらい、え、それに対して脳が動いて
[00:31:23] いるかというところで、紙よりも
[00:31:25] タブレットの方が脳が、え、必要とする量
[00:31:28] が大きいと。ま、これなぜかと言いますと
[00:31:30] 、ま、紙っていうのは実際に情報が、ま、
[00:31:33] この現実に書いてあるもので、タブレット
[00:31:36] というのは、ま、表示される要するに
[00:31:38] データとして出てくるものなので、ま、
[00:31:40] 子供特に小さい子であれば文字というもの
[00:31:43] はですね、まだ情報として存在していなく
[00:31:46] てですね、あくまでその、ま、印刷されて
[00:31:48] いる、ま、なんて言いますか、そういった
[00:31:51] 、ま、絵だったり、それと似たようなもの
[00:31:53] として存在している。[鼻息]ま、それを
[00:31:55] 理解するのにあると時間がかかるから、ま
[00:31:57] 、読むのも遅い。になってくると単語
[00:31:59] なんかもですね、ま、ある程度集約して
[00:32:01] 情報を処理することができる。ま、そう
[00:32:03] いったところで、ま、タブレットを使って
[00:32:06] 学習すると、ま、非常にその資格だけに
[00:32:09] 頼る形になるわけですね。なので非常に
[00:32:12] あの脳の違く
[00:32:16] なることによって学習の量が下がるという
[00:32:18] ような研究もあります。なので、果たして
[00:32:20] どのような方法であるべきかというのは、
[00:32:23] あの、ま、検証していくべきかと思います
[00:32:25] 。ま、今後あのデジタル教科書、ま、導入
[00:32:29] 等々あるかと思うんですが、え、ま、蝶と
[00:32:33] してもその辺りどのように考えているか、
