# source: https://www.youtube.com/watch?v=aBHABXJ8-tA
# video_id: aBHABXJ8-tA
# fetched: 2026-09-23T11:57:22.026Z
# segments: 1777

[00:00:45] 行います。
[00:06:10] あの、個別の総合大会については担当家の方からお答えさせていただきます。
[00:06:16] はい。桂田商観光課長。
[00:06:21] はい。え、お答えいたします。あの、走行大会についてちょっと、え、答弁の方させていただきます。
[00:06:27] 現在、あの、業務内容につきましては利用
[00:06:30] の受付、使用量の取り扱い、え、利用者に
[00:06:34] 対する利用方法の指導、暖房、証明及び
[00:06:37] 音響の管理、電話の対応、キャンプ上の
[00:06:41] 受付及び管理、え、キャンプ場の草刈り、
[00:06:45] 施設の保守管理、え、体育館周辺の整備、
[00:06:49] え、清掃となっております。今委員からも
[00:06:51] ありましたが、あの利用者の対応を考えて
[00:06:55] みますと、現在の利用込みについては電話
[00:06:59] で行っておりますが、ネット予約での
[00:07:03] 申し込み環境が整えば、え、その問題は
[00:07:05] 解決するのかなと思っておりますが、
[00:07:08] やっぱりネット環境がない方への対応、
[00:07:11] また市街地からですね、総合鉄管まで15
[00:07:14] 分程度のですね、え、移動時間がかかる
[00:07:17] ため一定数おります飛び込みでの利用
[00:07:20] 等の対応、またあの利用旅の取り扱いなどですね、今後対応を検討していただいかなければならないっていう問題もありますので、え、今後その辺について、え、ちょっと検討の方進めさせていただきたいと思います。以上でございます。
[00:07:38] よろしいですか?他に福原委員はい。あの、
[00:07:47] 2点ほどお伺いたします。
[00:07:50] え、1点目は職員の、え、それぞれ各期間
[00:07:53] への、え、派遣の、え、実績。それから
[00:07:56] もう1、え、農業委員の、え、特別職の
[00:08:00] 身分あるいは報酬等について、え、2点
[00:08:03] ほどお聞きをしいたしたいと思います。え
[00:08:06] 、まず職員の、え、発見でありますけども
[00:08:09] 、それぞれ、え、等あるいは国の出作機関
[00:08:12] への、え、派遣が毎年行われておると思い
[00:08:16] ます。スムーズな行政運営について、え、
[00:08:20] 行われてるんだろうと思います。そして
[00:08:22] もう1つ、え、一昨年昨年と、え、民間
[00:08:26] 団体、え、地元農業に対して職員が発見を
[00:08:30] されております。え、それについて、え、
[00:08:34] 成果と、あの、その結果どういう、え、
[00:08:38] 評価をしているかお聞きをしたいと思い
[00:08:40] ます。それからもう1点農業委員ですけど
[00:08:43] も、え、
[00:08:45] 公職選挙法の身分で、え、特別職であり
[00:08:48] ながら、え、10年以上前になりますか、
[00:08:52] え、公戦法と共に、え、身分が、え、町長
[00:08:58] の推薦による身分という風に変更がなされ
[00:09:02] ております。その時に定数も、え、
[00:09:05] おそらく変えったんではなかろうかと。で
[00:09:07] 、その後様々な、え、編遷を得まして現行
[00:09:13] になってるかと思います。今年も回線が
[00:09:16] 行われて11名の方が回線ありましたけど
[00:09:18] も、え、農地行政はかなりエリアが広く
[00:09:23] なって内容もかなり深まっているんだろう
[00:09:26] と思います。それで、え、今後の例えば
[00:09:29] 農業委員の身分あるいはについて、え、
[00:09:33] どのような期間で、え、どういう風に、え
[00:09:36] 、決められていくのかをお聞きしたいと
[00:09:38] 思います。あの、議会ですとか党の特別職
[00:09:41] については、え、報審議会が行われて
[00:09:45] それぞれ、え、検討されると思うんです
[00:09:49] けども、え、もそういう形になるのかどう
[00:09:52] か、その辺を確認を聞かせていただければ
[00:09:55] と思います。
[00:09:59] 福原総務課長。
[00:10:02] え、福原委員のご質問にお答えいたします。え、現在今新徳長では令和
[00:10:07] 8
[00:10:08] 年度になりますけれど、国の方のデジタル長に
[00:10:10] 1
[00:10:10] 名派遣ということを行っております。え、今まで新徳庁あの国や、それから、え、民間へ、え、ま、人材育成という目的で、え、派遣をしております。
[00:10:22] え、特にあの福原委員てご質問にあった
[00:10:25] 農京の2年間、え、職員の方派遣させて
[00:10:29] いただきましたその評価ということなん
[00:10:31] ですけれども、え、まず基本として農に
[00:10:34] 派遣した意義としましては、ま、新徳庁の
[00:10:36] 機関産業である農業への理解を深めて、え
[00:10:39] 、それと共に、え、長農がより強固に連携
[00:10:43] することを目的に実施しております。え、
[00:10:46] この2年間の成果としましてはですね、
[00:10:48] まずあの現場の痛みが分かる政策立案力の
[00:10:51] 向上ということで、え、資材後等やですね
[00:10:54] 、人材不足といった現場の切実な悩みを肌
[00:10:58] で感じたことで真構性のある農業支援策を
[00:11:01] 組み立てる力が身についたのではないかと
[00:11:04] いう風に考えております。え、次にですね
[00:11:07] 、やっぱりあの顔の見える太いパイプが
[00:11:10] できたんではないかということです。え
[00:11:12] [鼻息]、現場で共に汗を流したことで、
[00:11:14] え、強い信頼関係が生まれ、今後の地域
[00:11:17] 進興や災害など有事の際に、え、素早く3
[00:11:20] つに連携できる体制が整ってきたのでは
[00:11:22] ないかという風に考えております。え、
[00:11:25] それから、え、3点目なんですけれども、
[00:11:27] え、民間感覚の還元ということで、え、
[00:11:30] 民間さんのスピード感やコスト意識を学ん
[00:11:33] だ経験っていうのは、今現在役場の方で
[00:11:35] 進めてる、え、業務改善とかですね、え、
[00:11:38] 組織の改革といったことの、え、大きな
[00:11:41] 推進力になるという風に期待しております
[00:11:44] 。え、今回の派遣につきまして、え、新徳
[00:11:47] 省としてはですね、え、時代を担う人材へ
[00:11:50] の価値ある投資であると評価しております
[00:11:53] 。
[00:11:54] え、基調後はですね、え、この経験を最大限に生かして、え、第
[00:11:58] 9
[00:11:58] 期総合計画の推進をはめとする持続可能な街づりにしっかりと還元していきたいと考えております。以上です。あ、針はいいすか?あ、中副長。
[00:12:22] [咳]
[00:12:23] [咳払い]
[00:12:23] え、農業委員会の報酬の関係について私の
[00:12:26] 方から、え、説明をさせていただきます。
[00:12:30] え、農業委員会の報酬
[00:12:34] 10年くらい上がってないのかなという風
[00:12:36] に思っております。で、え、内的にまして
[00:12:40] も
[00:12:42] 、ま、一般的には、あの、人口の何人いる
[00:12:47] かによって、え、人口が何番目だから、え
[00:12:50] 、その、その人口のですね、え、え、を元
[00:12:56] に、え、
[00:12:59] 報酬っていうのを算定、算定というか比較
[00:13:02] していくのかなという風に思ってますけど
[00:13:04] 、え、現在、あの、え、
[00:13:08] 農木さんの館内の順番を見るとですね、え
[00:13:12] 、145番目なのかなという風に思って
[00:13:15] おります。で、え、ま、今後あの館内の
[00:13:19] 状況のこう動きもあるのかなっていう風に
[00:13:21] は思いますが、え、できればあの来年の9
[00:13:26] 年度に向けてですか、え、改定さ、検討し
[00:13:30] ていきたいなという風に思っております。
[00:13:38] 福原
[00:13:40] はい、ありがとうございます。え、職員の派遣事業については、え、個人のスキルアップと共に各あの連携を取るという面では非常に重要だろうと思います。
[00:13:51] 特に機関産業の農林業に関しては、え、
[00:13:56] 金額もそれぞれ大きくなり、課題や悩み、
[00:14:00] え、いろんなものが実際そこの場に行か
[00:14:03] ないと共有できないだろうというものが
[00:14:06] 多々あろうと思います。特に農業土僕含め
[00:14:08] て予算規模も大きくなりますので、え、
[00:14:13] 重要な交流ではなかったかなと思います。
[00:14:16] そこで、え、今後も続けていくのかどうか
[00:14:20] をお聞きしたいと思います。かつては、え
[00:14:23] 、観光者についても昔は東切に職員が派遣
[00:14:28] をされて、当時、え、長に還元をするほど
[00:14:33] の運営実績を職員が行ったことによって
[00:14:36] 成績を上げたという実績もございます。え
[00:14:39] 、様々な観点から、え、囚われることなく
[00:14:44] 試してみるというのも1つの方法ではない
[00:14:47] かなと思って見ております。そんなのも
[00:14:49] 含めて今後も民間に対しての、え、人事
[00:14:54] 交流というのは考えているか、ま、一応
[00:14:56] 区切りとして
[00:14:59] 前年度で終了するか、そこをお聞きしたい
[00:15:03] と思います。それから、え、農業の方です
[00:15:07] けども、え、農地行政で
[00:15:10] 新得長の広大な農地面積5500ヘクタル
[00:15:15] に対して11名の農業で紛、え、私も一時
[00:15:20] 席を犯していただいて、あの、報酬の低さ
[00:15:23] というのには驚いていた経緯があります。
[00:15:28] え、各聴村どこも似たような、え、報酬
[00:15:31] 金額という風に聞いておりますので、
[00:15:33] どちらかいうと、え、報酬というよりは
[00:15:35] 費用弁償という形で地域農業を支えると
[00:15:38] いう身分でやっておられるのかなと思い
[00:15:41] ます。しかしながら、え、これから、え、
[00:15:45] 毎年中間管理機構に農地が集席をされて
[00:15:49] 農地行政の業務というのもおそらく
[00:15:52] まだまだ増えていくのかなと思います。
[00:15:55] そこで業務が、え、増えることに対しての
[00:15:58] 、え、評価というのはやっぱり費用弁償
[00:16:02] 報酬なるのか、あるいはその辺の基準で
[00:16:06] 1度何らかの時点で見直しというか評価を
[00:16:12] する機会があってもいいのかなと思います
[00:16:15] 。これで、え、地域保険ということでその
[00:16:17] まま現行でなんとか地域にお願いしたいと
[00:16:20] いうことであればそれはそれで構わないん
[00:16:22] だろうと思いますが、え、高いも含めて
[00:16:26] 農地行政に対する、え、使えてる人たちが
[00:16:30] 、え、適正であるか適正でないかという
[00:16:32] ものを何らかの機会で1度評価審議される
[00:16:36] 場が必要ではないかと思いますけども、
[00:16:38] そういう場面を設けるかどうかをお聞き、
[00:16:41] 以上2点をお聞きしたいと思います。
[00:16:58] 働副長、え、
[00:17:02] 1
[00:17:02] 点目のですね、え、職員の派遣というか研修、え、今後どうしていくんだという関係でございますが、え、まずあの、え、現在のですね、え、役場
[00:17:14] の職員体制、え、職員数、職員の状況で
[00:17:18] ございますが、え、ここ数年、あの、若い
[00:17:21] 方のですね、中東体職っていうのが、え、
[00:17:25] 多くいまして、え、職員のあの確保って
[00:17:29] いうのが大変に、え、なっている、え、
[00:17:33] 状況であります。で、え、採用試験をして
[00:17:36] もですね、え、応募が少なくて、え、ま、
[00:17:39] 採用に、え、苦労をしているそんな時代に
[00:17:42] なっております。従って、え、一定のです
[00:17:46] ね、え、職員の余裕がなければ、え、現状
[00:17:50] では難しいのかなという風に、え、思って
[00:17:53] おります。え、ま、その上で、あの、派遣
[00:17:57] するにはですね、え、どういう目的で、え
[00:18:00] 、ま、どういう必要性があってですね、
[00:18:04] 派遣をするのかですね、その辺、あの、
[00:18:06] 十分検討しないと、え、現状では難しいの
[00:18:09] かなという風に思っております。で、お話
[00:18:11] のありました、あの、東大切の関係ですが
[00:18:14] 、え、
[00:18:17] 仮に東大切に、え、派遣するとしたら、え
[00:18:21] 、どういう立場の人を派遣するのか、
[00:18:25] 例えば支配人を派遣するのか、え、事務を
[00:18:28] 派遣するのか、え、その辺もありますし、
[00:18:32] え、それに答えれるようなあの職員がいる
[00:18:35] かっていうのも、え、ありますんで、え、
[00:18:39] ま、職員数のこともありますけど、その辺
[00:18:42] 、え、現場とですね、え、うまくこう調整
[00:18:46] できるのかどうか、え、その辺含めて、え
[00:18:49] 、もし派遣するんであれば考えていかない
[00:18:52] といけないのかなという風に思っており
[00:18:54] ます。え、現状ではちょっと職員数の関係
[00:18:56] で難しいのかなという風に、え、思って
[00:18:58] おります。え、それから、え、農業員の
[00:19:02] 関係ですけど、え、ま、あの、業務なり
[00:19:08] その業務の内容なりですね。え、ま、大変
[00:19:12] なってきてるっていうのは、あの、え、
[00:19:15] 分かっておりますが、え、それを評価
[00:19:17] するっていうのを、ま、どういう形で評価
[00:19:19] していったらいいのかですね、え、その辺
[00:19:22] 含めて、あの、検討させていただきたいな
[00:19:25] という風に思っております。で、え、ま、
[00:19:28] 公衆の額は、あの、先ほど言いましたよう
[00:19:30] に一般的にはその業務とか、え、業務の
[00:19:34] 内容でなくその
[00:19:37] 人口の数の順位っていう感じで、え、今
[00:19:40] までやってきてるのかなと、え、そ、そう
[00:19:43] 思ってますんで、え、ま、報酬の方は
[00:19:46] そんなことで、え、改正なり見直しをして
[00:19:49] いきたいなという風に思ってます。以上
[00:19:51] です。
[00:19:54] はい。よろしいですか?あの、答弁側も
[00:19:58] ですね、はっきりと分かるように挙視して
[00:20:00] いただいてくようにお願いいたします。え
[00:20:05] 、他にございませんか?
[00:20:12] え、なければこれを持って質疑を集結
[00:20:16] いたします。え、次に進みます。え、それ
[00:20:21] では歳入歳出決算事項事項別に入ります。
[00:20:27] え、最初に一般会計の
[00:20:30] から入りますが、受行別明書のページ数を
[00:20:35] 申し上げますので、これそれによってご
[00:20:39] 発言を願います。なお発言される際は何
[00:20:44] ページの何々ということを合わせて申して
[00:20:47] ください。
[00:20:50] え、それでは54ページから110ページ
[00:20:53] までの第1巻議会費及び第2巻総務費全般
[00:21:00] についてご発言ください。
[00:21:04] 佐員
[00:21:06] はいと102ページ
[00:21:11] の委託量です。
[00:21:16] 申請書作成システム構築業務委託量という
[00:21:20] ところで、え、こちらの書かない窓口の
[00:21:22] システム導入かと思います。で、え、
[00:21:26] おそらく7、あ、ごめんなさい。え、令は
[00:21:29] 7年度末、3月あたりから、ま、稼働され
[00:21:31] たのかなというところで、え、ま、色々1
[00:21:35] 番の混雑であろう年度末、年度初めの天入
[00:21:39] 点出とを、ま、1度
[00:21:45] 実施されてきたのかなと。ま、その中で、
[00:21:47] あの、ま、色々まだ職員の担当者の方の
[00:21:50] 機会の不慣れとかもあるとは思うんですが
[00:21:52] 、あ、今約半年経った中での、あの、
[00:21:55] こちらの窓口の整備なんか語れるもの教え
[00:21:59] ていただきたいと思います。以上です。
[00:22:04] 大宮町民課長。
[00:22:08] え、佐藤委員のご質問にお答えいたします
[00:22:10] 。えっと、申請書作成支援システム構築
[00:22:14] 業務委託量ですが、え、こちらの方
[00:22:16] デジタル技術を活用した書かない窓口の
[00:22:19] 導入事業として、え、各手続き窓口におけ
[00:22:23] る手書きによる申請書の重複記載の手間を
[00:22:26] 軽減することと窓口事務の、え、効率化に
[00:22:30] 伴う混雑の緩和を目的として導入しており
[00:22:33] ます。で、本システムの、え、構築業務に
[00:22:36] つきましては、えっと、委員おっしゃって
[00:22:38] ように本年の2月末日にシステム構築を
[00:22:41] 終えて、え、3月からの運用開始となって
[00:22:44] おります。で、この導入効果はということ
[00:22:47] でございますが、え、システムの導入に
[00:22:50] あたっては実際に利用しながら様々な場面
[00:22:54] に対応できるようなシステムの設定などを
[00:22:57] 職員自らが行う必要となっているのですが
[00:23:01] 、え、運用開始直後の年度当初においては
[00:23:04] 、え、住民の点出入増加などによる反機な
[00:23:08] こともあり、設定作業をなかなか、え、
[00:23:11] うまく進めることができず、効果的な活用
[00:23:14] について発揮できていない状況となって
[00:23:17] おります。また紙の申請書に書く代わりに
[00:23:21] 、え、タブレット端末に入力する必要が
[00:23:23] あるため、来長者によってはこのデジタル
[00:23:26] 化に寄費感を感じる方もいるため、え、
[00:23:30] それぞれの状況に応じた窓口対応を行って
[00:23:33] いく必要があると考えております。で、
[00:23:37] 現在も来長者及び職員が共に時間と手間が
[00:23:41] 削減できるようなシステムとして運用が
[00:23:44] できるよう導入業者や同様なシステム
[00:23:47] を利用している他市町村とも情報交換し
[00:23:50] ながら対応を進めている状況ですので、え
[00:23:54] 、ご理解いただければと思っております。
[00:23:56] 以上です。
[00:24:01] よろしいですか?その方か?森本委員。はい。はい。えっと実は私も同じ質問をしようと思ったんですが、えっと、え、
[00:24:16] 3項目をする予定で今
[00:24:18] 2項目になりました。はい。[笑い]
[00:24:21] え、それでは、えっと、質問したいページ
[00:24:23] ですけれども、えっと、69ページ、え、
[00:24:27] 下から5段ほどにあります時候報サービス
[00:24:33] 使用料。この項目と、え、もう1つが、え
[00:24:37] 、73ページ。え、公共、え、施設
[00:24:44] 建物、あ、上から2段目になりますけれど
[00:24:46] も、公共施設、建物、マネジメント、計画
[00:24:50] 、策定、業務、委託量、この2つについて
[00:24:54] 質問させていただきます。えっとこの、え
[00:24:58] 、69ページの方になりますけれども、
[00:25:02] 地で事候サービス、え、使用量、これ、
[00:25:05] あのUHBというテレビ局の方に支払って
[00:25:09] いる金額45万1000円ということなん
[00:25:12] ですけれども、え、このサービス
[00:25:17] なんですが、え、有効なのかどうか、
[00:25:20] [息をのむ音]え、メリットか、そういう
[00:25:23] ものを私はあまり感じていないとところで
[00:25:26] ありまして、この件につきましては昨年も
[00:25:30] 、え、中村委員の方から質問もあったかと
[00:25:34] 思うんですけれども、えっと、その時の、
[00:25:37] え、お答えは情報は5件で1項目180
[00:25:41] 文字入力可能ということ。そして災害の時
[00:25:45] 緊急で情報を流せたりできるそういうよう
[00:25:47] なものであるという風にお答えになって
[00:25:50] おりました。え、その辺、えっと、え、
[00:25:54] どうなのかな。え、これが有効に皆さん
[00:25:57] 町民が利用できているものなのかなって
[00:25:59] いう風なところがあります。で、え、残念
[00:26:04] なのがこのカウントが取れないと視聴率と
[00:26:07] いうかそういう利用してる人たちの数字が
[00:26:09] 分からないっていうところがちょっと、え
[00:26:12] 、ま、え、残念だなっていうところであり
[00:26:15] ますが、この辺も、え、もう1度、え、お
[00:26:18] 答えをいただきたいと思います。
[00:26:25] 残次休憩いたします。はい。
[00:26:27] あ、ごめんなさい。2
[00:26:28] つ目ですね。すいません。もう
[00:26:31] 1つ目ありました。え、
[00:26:33] 73
[00:26:34] ページの、え、公共すいません。休憩時再開いたします。
[00:26:38] [笑い]
[00:26:38] すいません。え、混乱させて申し訳ありません。
[00:26:41] え、73ページの方ですけど、公共施設、
[00:26:46] え、建物マネジメント計画策定業務委託量
[00:26:50] ですけれども、え、こちらの方は、えっと
[00:26:53] 、ん、198万円
[00:26:57] とありまして、え、ここ決算参考資料には
[00:27:01] 公共施設の現状調査により、え、公共施設
[00:27:06] の現状調査により今後の維持管理、え、コ
[00:27:11] と削減に向けた基礎資料が整備されたと
[00:27:15] いう風に、え、決算参考資料の方に書かれ
[00:27:19] ておりました。で、え、この辺ですね、
[00:27:22] どのように、えっと、その整備されたのか
[00:27:25] なっていうのがもうちょっと詳しく、え、
[00:27:28] 教えていただけたらなという風に思って
[00:27:31] おります。その辺お願いいたします。
[00:27:36] 香谷地域戦略出長。
[00:27:41] えと、1点目の、え、地候補サービスに
[00:27:43] ついてお答えをいたします。えっと、まず
[00:27:46] メリットにつきまして、あの、森本委員が
[00:27:48] おっしゃった通り、え、基本的に、あの、
[00:27:51] テレビがあれば、あの、誰でも無料に利用
[00:27:54] できるものでございまして、で、あの、
[00:27:57] 特に、あの、高齢者の方だったりスマホを
[00:27:59] 持たない方に対しても、え、即で、え、
[00:28:02] 情報発信が可能なシステムでございます。
[00:28:06] た、例えばの災害時にもですね、例えば
[00:28:09] あの広料が、ま、巡回をするということも
[00:28:12] あるんですけど、なかなか大雨で聞き取り
[00:28:13] にくいといった場合でも、え、例えばあの
[00:28:16] テレビであれば聞き逃しがなく、例えば
[00:28:19] あの本庁に多い聴格障害者の方多いんです
[00:28:21] けども、そういった方にもテレビであれば
[00:28:24] 、え、ご利用いただけるのかなという風に
[00:28:25] 考えております。また大きくあの、えっと
[00:28:28] 、
[00:28:29] としてもあの設備投資が不要で、え、即日
[00:28:32] 、あ、即自こう導入が可能だということで
[00:28:35] 、え、このシステムを、え、導入をした
[00:28:37] ところでございます。で、その、えっと、
[00:28:40] カウントが取れないということでござい
[00:28:41] ますけども、我々あの、ま、何を、ま、
[00:28:44] 重視するかというで、あの、見てる方と
[00:28:46] いうよりは情報が確実に届くかという
[00:28:48] ところが重要かな風に考えておりますので
[00:28:50] 、例えばあの、スマホで、え、メールで
[00:28:52] 発信する、スマホが、持ってない方には
[00:28:55] テレビで発信をするということで、確実に
[00:28:57] こう届く方法の1手段ということでは、え
[00:28:59] 、確実な手段という風に思っておりますの
[00:29:02] で、え、そういった成果はあるのかなと
[00:29:04] いう風に考えております。以上です。
[00:29:06] [鼻息]
[00:29:14] おい、総務課長補佐はい。え、森本委員のご質問にお答えいたします。はい。すいません。
[00:29:24] [咳払い]
[00:29:25] え、新得公共施設建物マネジメント計画
[00:29:29] 策定業務につきましては、え、徴有施設、
[00:29:32] え、徴有公共施設の建物に関する現状調査
[00:29:36] を行い、建物の劣化状況や運用実態
[00:29:39] エネルギー使用状況を把握し、え、回収
[00:29:42] 工事及び今後の維持管理コスト、え、削減
[00:29:45] 検討に向けた、え、基礎資料を得ることと
[00:29:48] 得ることを目的として実施し、え、年度
[00:29:50] ごとに施設を選定して行っております。令
[00:29:53] 和7年度につきましては、え、東接走並び
[00:29:56] に役場身長者を対象として実施をいたし
[00:29:59] ました。え、まず被害大切につきましては
[00:30:02] 、え、建築から32年経過しておりますの
[00:30:05] で、ま、内容としましては、え、外観の
[00:30:08] 簡易劣化調査並びに、え、外壁
[00:30:10] コンクリートの中性化調査、え、長期的な
[00:30:13] 維持管理コストの評価等を実施しまして、
[00:30:16] え、施設運用の孤立化のための、え、提案
[00:30:18] を受けたところでございます。え、総合的
[00:30:20] な評価としましては、え、建物設備の劣化
[00:30:23] 状況を的確に把握し、計画的に修繕更新を
[00:30:27] 行うことにより、え、今後も長期的な活用
[00:30:30] が可能という、え、回答をいただいており
[00:30:33] ます。え、役場の身長者につきましては
[00:30:36] 建築、え、後まだ、え、1年経っていない
[00:30:38] というとこでどのような内容かと言います
[00:30:40] と、え、エネルギー消費量の分析調査を
[00:30:43] 実施いたしました。え、この結果、え、
[00:30:46] 時期によりまして、え、空調の消し忘れ等
[00:30:48] が見られるなど、え、こういう事案があり
[00:30:50] ましたので、それにつきましては防止措置
[00:30:52] として、防止措置として、え、空調を、ま
[00:30:54] 、手導からタに、え、変更するなどのです
[00:30:57] ね、提案を受けたところでございます。え
[00:30:59] 、この、え、調査の結果を踏まえまして、
[00:31:01] 今後の施設の管理、え、計画に、え、の
[00:31:05] 基礎資料として役立ててまいりたいと考え
[00:31:07] ております。以上でございます。
[00:31:12] 森本委員、
[00:31:14] え、お答えありがとうございます。えっと、地ービスの方ですけれども、ま、あの、私ももう高齢者のに入っておりまして、スマホや何かで、え、見られない高齢者の意義にも入ってるのかもしれないんですけども、えっと、そういったものを使えない高齢者がテレビのデジのそのサービスもできるかどうかっていうのもちょっと私にとっては、え、不安なところもあるんですよね。
[00:31:23] [笑い]
[00:31:40] それで、えっと、やはりこれからの時代は
[00:31:43] 、ま、テレビ、え、で見るっていうその、
[00:31:48] あの、緊急速報っていうのがすっと入る
[00:31:50] ああいうのは、あの、受け止められやすい
[00:31:52] んですけど、わざわざデジのボタンを押し
[00:31:55] てっていうところに高齢者の方が行くのか
[00:31:58] どうかっていうのが、あの、ま、ちょっと
[00:32:00] なれっていうこともあるかと思う思うん
[00:32:02] ですけれども、やはりその辺、あの、高齢
[00:32:05] 者の方たちにとって、え、いいものである
[00:32:08] ということであればもうちょと周知をする
[00:32:11] 方法、もうちょっとあのこういうことが
[00:32:13] できるんですよっていうことをお年寄りに
[00:32:15] もっと知らせていくべきではないかなって
[00:32:18] いう風に思います。それで、えっと、ま、
[00:32:22] あの、ちょっと、ま、話変わっちゃうのか
[00:32:24] もしれないんですけど、例えば、えっと、
[00:32:27] そういった情報の時代っていうことで言う
[00:32:29] のであれば、えっと、LINEとかそう
[00:32:32] いうものが街の方であの、届けられるもの
[00:32:35] 、これをこうなん、キャッチボールできる
[00:32:38] ような、そういった仕組みがあると、
[00:32:40] 例えば災害の時なんかはつい先日も大雨
[00:32:44] 降った時に風も強かった時に道路上に
[00:32:47] 立ち木があの、枝が折れてたってそういう
[00:32:50] ことがあって、私も写真を撮ってすぐ役場
[00:32:52] に送りたいとそういうこともありましたの
[00:32:55] で、できればそういうようなシステムの方
[00:32:57] を逆に構築していってほしいなって思い
[00:33:01] ます。ま、デジタル
[00:33:02] トランスフォーメーション新得地中も今力
[00:33:04] を入れてると思いますけれども、その辺を
