# source: https://www.youtube.com/watch?v=Ib5TgHKlAps
# video_id: Ib5TgHKlAps
# fetched: 2026-09-03T22:43:28.044Z
# segments: 930

[00:00:31] 終を行います。
[00:06:23] 食を通じて命や作り手の皆さんへの
[00:06:27] いただきますの感謝を分かち合う大変
[00:06:30] 温かい時間となりました。健やかに
[00:06:33] たましく育って欲しいと願うばかりです。
[00:06:36] 直材のご協力をいただきました新徳長農京
[00:06:40] 青年部の皆様に心より感謝申し上げ以上
[00:06:44] 行政報告といたします。
[00:07:01] 日程第3報告第5号
[00:07:06] 地方公共団体の財政健全化に関する法律第
[00:07:11] 3条第1項びに第22条第1項の規定に
[00:07:16] 基づ
[00:07:18] 令和7年度財政健全化比率等の報告があり
[00:07:23] ましたのがお手元に配布した通りであり
[00:07:26] ます。この報告に対して質疑はございませ
[00:07:29] んか?
[00:07:33] ないようですんでこの報告第5王について
[00:07:36] はこれもって質疑を集結いたします。
[00:07:40] 日程第4認定第1号令和7年度新得庁各
[00:07:47] 会計歳入歳出決算認定についてを議題と
[00:07:50] いたします。お諮りいたします。本件に
[00:07:54] ついては全議員中議会選出関西委員青茂
[00:07:59] 行き議員と議長を除く10名の議員を持っ
[00:08:03] て構成する新各会計歳入歳出決算特別委員
[00:08:09] 会を設置しこれに託の上審査いたしたいと
[00:08:15] 思います。これにご異議ございませんか?
[00:08:20] と認めます。よって本件については10名
[00:08:24] の議員を持って構成する新徳長各会計歳入
[00:08:28] 歳出決算特別委員会を設置しこれに不託の
[00:08:33] 上審査することに決しました。今定例会の
[00:08:36] 会機中に審査をお願いします。
[00:08:46] 日程第5認定第2号令和7年度新徳庁水道
[00:08:52] 事業会計決算認定についてを議題といたし
[00:08:56] ます。お諮りいたします。本件については
[00:09:00] 全議員中機会選出関西委員行き議員と議長
[00:09:06] を除く10名の議員を持って構成する
[00:09:10] 新徳長水道事業会計決算特別委員
[00:09:14] 会を設置しこれに2審査いたしたいと思い
[00:09:18] ます。これにご異議ございませんか?
[00:09:22] 意義なしと認めます。よって本件について
[00:09:25] は10名の議員を持って構成する新徳長
[00:09:29] 水道事業会計決算特別委員会を設置し、
[00:09:33] これに不託の上審査することに決しました
[00:09:36] 。今定例会の会機中に審査をお願いします
[00:09:40] 。
[00:09:43] 日程第6認定第3号令和7年度新徳長公共
[00:09:49] 下水移動事業会計決算特別認定を議題とし
[00:09:56] たします。お諮りいたします。本件につい
[00:09:59] ては
[00:10:01] 全議員中議会選出関西委員青柳市基金と
[00:10:09] 議長を除く10名の議員を持って構成する
[00:10:13] 新徳長公共下水移動事業会計決算特別委員
[00:10:18] 会を設置しこれに不託の上審査いたしたい
[00:10:22] と思います。これにご異議ございませんか
[00:10:24] ?
[00:10:26] 意義なしと認めます。よって本件について
[00:10:28] は
[00:10:30] 10名の議員を持って構成する新徳長公共
[00:10:34] 下水道事業会計特別委員会を設置しこれに
[00:10:39] 不託の上審査することに決しました。根底
[00:10:43] 会の会機中に審査をお願いいたします。
[00:10:51] 日程第7指問第1号人権用語委員の候補者
[00:10:57] の推薦について議題といたします。提案者
[00:11:02] から提案理由の説明を求めます。
[00:11:05] 長長指問
[00:11:19] 第1号人権用語の候補者の推薦についてご
[00:11:24] 説明申し上げます。人権用語委員の候補者
[00:11:28] に新徳長くったり朝日町4丁目1番地28
[00:11:34] 上本広市を推薦いたし人権用委員法第6条
[00:11:41] 第3項の規定により議会の意見を求める
[00:11:44] ものでございます。上本氏は昭和39年
[00:11:49] 生まれの62歳であり、令和4年から民を
[00:11:54] 務められております。人格出権共に優れ、
[00:11:59] 人権用語委員として的任でありますので、
[00:12:02] 候補者として推薦するものでございます。
[00:12:06] なお人気は令和9年1月1日から令和11
[00:12:10] 年12月31日までの3年間であります。
[00:12:16] 原職の伊藤地方氏は本年12月31日を
[00:12:20] 持って人気満僚となります。伊通は令和6
[00:12:25] 年1月から1期3年間人権用語委員を務め
[00:12:29] られておりますが、今回の人気満僚機会に
[00:12:34] 退任をしたい旨伺っていたところでござい
[00:12:37] ます。この間のご人力に心から感謝を
[00:12:41] 申し上げる次第であります。以上よろしく
[00:12:45] お願いいたします。
[00:12:59] 説明が終わりました。本件は人事案件につき質疑討論を省略し、質問第
[00:13:06] 1
[00:13:06] 号の採決を行います。お諮りいたします。本件は原案の通り申請推薦することにご異議ございませんか?
[00:13:16] なしと認めます。よって指問第1号は推薦
[00:13:20] することに推薦することに同意することに
[00:13:23] 決しました。
[00:13:28] 日程第8議案第65号教育委員会委員の
[00:13:34] 任命同員について議題といたします。提案
[00:13:38] 者から提案理由の説明を求めます。渡副
[00:13:42] 町長ご登答願います。
[00:13:57] 議案第65号教育委員会委員の任命同意に
[00:14:02] つきましてご説明を申し上げます。
[00:14:06] 地方教育行政の組織及び運営に関する法律
[00:14:10] 第4条第2項の規定に基づき新徳長
[00:14:14] くったり旭日町4丁目1番地26人お
[00:14:18] 住まいの原誠子氏を教育委員会委員として
[00:14:23] 任命いたしる
[00:14:26] ものであります。松原市は昭和41年6月
[00:14:31] 生まれの60歳で平成30年10月より2
[00:14:36] 期8年間供給院を務められております。
[00:14:41] この9月30日を持って人気満僚了となり
[00:14:44] ますが人権人格出験とに優れ教育委員会と
[00:14:51] 教育委員会に的任と存じますので引き続き
[00:14:55] 任命いたし
[00:14:58] ますようろしくお願い申し上げます。
[00:15:14] 説明が終わりました。本件は神社案件につき質疑討論を省略し議案第
[00:15:21] 65
[00:15:22] 号の採決を行います。お諮りいたします。本件は原案の通り同意することにご異議ございませんか?
[00:15:32] しと認めます。よって議案第
[00:15:35] 65
[00:15:35] 号は原案の通り同意することに決しました。
[00:15:43] 日程第9議案第6066
[00:15:47] 号長議会基本条例の制定についてを議題と
[00:15:51] いたします。提案者から提案理由の説明を
[00:15:55] 求めます。8番若杉正都議員。
[00:16:17] 議案第66号
[00:16:21] 審議会基本条例の制定についてご説明し、
[00:16:25] 議員各のご賛同を賜わりたいと存じます。
[00:16:31] 本条例案は
[00:16:34] 先に議会運営委員会を開催し、議員各意の
[00:16:39] 賛同を得まして委員長であります。私が
[00:16:43] 提案者となった次第であります。
[00:16:49] 長議会では
[00:16:51] 議会活動の活性化を図るため
[00:16:54] 議会の将来あるべき姿の検討を行っており
[00:16:59] その一環として議会基本条例の制定につい
[00:17:04] て協議を重ねてまいりました。
[00:17:07] この度条例の正案がまとまったことから本
[00:17:12] 条例を提案するものであります。
[00:17:17] それでは9ページをご覧ください。
[00:17:25] 提案理由でございますが、
[00:17:28] 地方文献改革の進展により、地方自治体に
[00:17:33] よるには自らの判断と責任に基づく行政
[00:17:39] 運営が強く求められており
[00:17:42] 2元代表性の一欲を担う長議会が果たすべ
[00:17:47] 果たすべき役割は極めて重要となっており
[00:17:50] ます。
[00:17:52] 今長議会はこれまでも
[00:17:56] 町民の信託を受けた代表機関として活動し
[00:18:00] てきましたが、
[00:18:02] 新徳長の豊かな自然環境と
[00:18:06] 住環境の調和を重視し、先が気づき上げた
[00:18:12] 歴史と文化を育みながら新しい価値を想像
[00:18:16] する
[00:18:18] 自立した街づりを進めるために
[00:18:22] ためには町民の多様な意見をより的確に
[00:18:26] 把握し
[00:18:28] に反映させることが不可欠です。
[00:18:32] そのためには
[00:18:35] 町長等との独立等な緊張関係を保ち、監視
[00:18:42] 機能や政策立案機能を充実されるさせると
[00:18:46] ともに情報公開と説明責任を果たし
[00:18:53] 町民の意見を聞く会の実施など
[00:18:57] 町民参加を推進する開かれた議会を実現し
[00:19:01] なけれはなりません。
[00:19:05] ここに議会及び議員の活動原則町民は町民
[00:19:11] や町長等との関係などを明らかにし
[00:19:17] 本議会の最高批判となる
[00:19:22] 会基本条例を制定し
[00:19:25] 町民の不託に全力で答えるとともに
[00:19:30] 普段の議会改革を押し進めるため本条例を
[00:19:34] 制定象徴するものであります。
[00:19:38] 1ページに戻っていただきまして、
[00:19:43] 本条例は全文及び8章26条から構成され
[00:19:50] ております。
[00:19:52] 原文では2元代表性における[咳払い]
[00:19:56] 議会と町長等の関係、また議会の使命や
[00:20:03] 果たすべき責務について記載し、町民に
[00:20:09] 信頼される議会を築くためこの条例を制定
[00:20:13] するとしています。
[00:20:17] 第1章は捜として第1条では町民の福祉
[00:20:24] 向上と町の持続的で豊かな街づりの実現に
[00:20:30] 起与することを目的とし、
[00:20:35] 第2条では基本理念を、第3条では最高
[00:20:41] 規範制を規定しております。
[00:20:46] 第2章は議会及び議員の活動原則として
[00:20:53] 第4条では議会及び議員の責務、第5条で
[00:20:59] は議会の活動原則、
[00:21:02] 第6条では議員の活動原則について規定し
[00:21:06] 、第7条では議員の政治倫理について規定
[00:21:11] しております。
[00:21:15] 第3章は町民と議会の関係として
[00:21:20] 第8条では町民参加及び
[00:21:25] 町民との連携を掲げ
[00:21:28] 議会に関する情報を町民に共有するととも
[00:21:32] に町民に対する説明責任について規定して
[00:21:37] おります。
[00:21:39] 第4章は町長等と議会の関係として
[00:21:46] 第9条では町長等と議会
[00:21:52] 及び議員の関係
[00:21:55] 第10条では町長等による政策等の
[00:22:02] せ形成過程の説明
[00:22:05] 第11条では予算及び決算における政策
[00:22:11] 説明資料の作成。第12条では議決事件の
[00:22:17] 拡大について規定しております。
[00:22:21] 第5章は会議の運営として第13条では
[00:22:28] 自由討論による合意形成として議会は議員
[00:22:34] 総互の討論を中心に運営することを規定し
[00:22:38] 、第14条では委員会の活動、
[00:22:45] 第15条では開かれた活動的な議会の推進
[00:22:50] について規制しております。
[00:22:54] 第6章は定数及び報酬として第16条では
[00:23:02] 議員定数、第17条では議員報について
[00:23:06] 規定しております。
[00:23:09] 第7章は議会機能の強化と体制整備として
[00:23:16] 第18条では議会活性化の推進、
[00:23:21] 第19条では議会の評価、第20条では
[00:23:27] 災害時の対応、第21条では議員研修の
[00:23:33] 充実強化、第22条では議会候補の充実第
[00:23:40] 23条では議会図書室の充実。第24条で
[00:23:46] は議会事務局の体制整備について規定して
[00:23:50] おります。
[00:23:52] 第8章は継続的な検討と見直し手続きとし
[00:23:58] て第25条では継続的な検討、第26条で
[00:24:05] は見直し手続きについて規定しております
[00:24:09] 。
[00:24:12] 条例本部につきましては朗読を省略させて
[00:24:15] いただきます。
[00:24:17] 副足といたしましてこの条例は令和9年1
[00:24:22] 月1日から施行するものであります。以上
[00:24:26] で説明を終わりますが議員各位の満の賛同
[00:24:30] を賜まりますようお願い申し上げます。
[00:24:51] これから質疑に入ります。質疑ありまし
[00:24:53] たら発言を許します。
[00:24:57] これを持って質疑を集結いたします。本件
[00:25:01] について討論はありませんか?
[00:25:05] 討論がないようですんで、これから議案第
[00:25:08] 66号を採決いたします。
[00:25:12] 本件は原案の通り決することに賛成議員の
[00:25:16] 求めます。
[00:25:20] 挙種全員であります。よって議案第66号
[00:25:25] は原案の通り可決されました。
[00:25:30] 日程第10気案第67号
[00:25:36] くったりレクサイドスポーツ施設設置条例
[00:25:40] を廃止する条例の制点についてお議題と
[00:25:43] いたします。
[00:25:45] 提案者から提案の説明を求めます。大山社会教育課長。
[00:26:04] 議案第67
[00:26:06] 号ったりレイクサイドスポーツ施設置を廃止する条例の制定についてご説明申し上げます。
[00:26:16] 下段提案理由でございますが、くったり
[00:26:19] レイクサイドスポーツ施設は利用者の減少
[00:26:22] により施設の設置目的を十分に達成する
[00:26:26] ことが困難困難な状況となっていること
[00:26:29] から同施設を廃止するため本条例を廃止
[00:26:33] するものでございます。
[00:26:36] 条例本文につきましては朗読を省略させて
[00:26:39] いただきます。
[00:26:41] 次に不足といたしましてこの条例は令和8
[00:26:46] 年11月4日から施行するものです。以上
[00:26:50] で説明を終わらせていただきます。ご審議
[00:26:53] のほどよろしくお願い申し上げます。
[00:27:10] これから質疑に入ります。質疑ありましたら発言を許します。これを持って質疑を集結いたします。本件について討論はありませんか?討論がないようですんで、これから議案第
[00:27:27] 67
[00:27:28] 号を採決いたします。本件は原案の通り決することに賛成議員の挙を求めます。
[00:27:39] 挙種全員であります。よって議案第67号
[00:27:43] は原案の通り可決されました。
[00:27:47] 日程第11議案第68号水道事業給水条例
[00:27:54] 等の一部を改正する条例の制定について
[00:27:58] 議題といたします。提案者から提案理由の
[00:28:02] 説明を求めます。夕た施設
[00:28:27] 議案第68号水道事業給水条例等の一部を
[00:28:33] 改正する条例の制定についてご説明
[00:28:36] 申し上げます。3ページをご覧ください。
[00:28:43] 中段にあります提案理由ですが、水道事業
[00:28:47] 及び公共下水道事業の経営健全化を図る
[00:28:52] ため本条例の一部を改正しようとするもの
[00:28:55] でございます。改正内容でございますが、
[00:28:59] 水道、下水道量両事業とも用途別料金を
[00:29:04] 廃止し、水道事業につきましては後計料金
[00:29:08] といたします。3ページ下段から4ページ
[00:29:14] 下段までの水道料金、下水道使用量の比較
[00:29:18] をご覧ください。表は税抜きとなっており
[00:29:22] ます。初めに水道料金の比較といたしまし
[00:29:26] て、光計13mの基本料金は1ヶ月につき
[00:29:32] 減120円が改正後1200円、重量料金
[00:29:39] 従来の釣化料金が1立方につき普通用改正
[00:29:44] 前134円が改正後135円
[00:29:51] 新たに栄能用を設
[00:29:53] 1立方あたり120円となり以下ごとに
[00:29:59] 記載の通りでございます。水道料金の平均
[00:30:03] 改定率は6.19%
[00:30:06] 増となっております。次に下水移動使用料
[00:30:11] の比較といたしまして、一般用の基本料金
[00:30:14] は1ヶ月につき減
[00:30:18] が改正後1200円となり、重量料金は1
[00:30:23] 立法につき改正前134円が改正後
[00:30:28] 150円となります。下水道使用料の平均
[00:30:32] 改定率は12.22%
[00:30:35] 増となっております。
[00:30:38] ページにお戻りいただきまして中段の不足
[00:30:41] ですがこの条例は令和9年4月1日から
[00:30:46] 思考し4月検診にかかる前年度2月から3
[00:30:52] 月分の水道料金及び下水道使用料の超料金
[00:30:56] につきましては令和8年度料金が適用に
[00:30:59] なります。なお、本条例の改正につきまし
[00:31:03] ては、本年3月11日に新徳庁水道下水道
[00:31:08] 事業審議会に指問いたしまして6月8日に
[00:31:13] 審議会会長よりその旨の答信をいただいて
[00:31:16] おります。以上で説明を終わりますがご
[00:31:19] 審議のほどよろしくお願いいたします。
[00:31:40] これから質疑に入ります。質疑ありまし
[00:31:42] たら発言を許します。
[00:31:46] これを持って質疑を集結いたします。本件
[00:31:49] について討論はありませんか?
[00:31:53] 討論はないようですんで、これから議案第
[00:31:56] 68号を採決いたします。本件は原案の
[00:32:01] 通り決することに賛成議の挙を求めます。
[00:32:06] 挙種全員でありますよって議案第68号は
[00:32:11] 原案の通り可決されました。
[00:32:15] 日程第12議案第69号令和8年度新徳長
[00:32:21] 一般会計補正予算を議題といたします。
[00:32:25] 提案者から提案流の説明を求めます。
[00:32:29] 長い
[00:32:44] 議案第69号令和8年度新徳庁一般会計
[00:32:50] 補正予算第5号につきましてご説明
[00:32:53] 申し上げます。第1条歳入歳出予算の総額
[00:32:58] に歳入歳出それぞれ5889万7000円
[00:33:03] を追加し、歳入歳出予算の総額を歳入歳出
[00:33:08] それぞれ92億7678万8000円
[00:33:13] とするものでございます。第2条地方祭の
[00:33:17] 変更は第2票地方祭補正によるもので
[00:33:22] ございます。14ページ
[00:33:24] 再出をお開き願います。
[00:33:32] 2巻総務費、一般管理費の
[00:33:35] 18
[00:33:35] 節負担金補助及び付金では職員の対職にかる
[00:33:41] 負担が生じので職当て組合金をたに上してます。
[00:33:49] 住民生活費の18節負担金補助及び交付金
[00:33:54] では夢金事業の今後の事業申請の要望に
[00:34:00] 答えられるよう夢基金事業補助金を増額し
[00:34:04] ております。
[00:34:08] 召喚金利子及び割引では令和7年度の障害
[00:34:14] 者医療費や子供、子育て支援交付金など
[00:34:19] 13件において事業費の生産により補助
[00:34:24] 補助額が確定し、国及び同費に変換金が
[00:34:29] 生じましたので補助金と変換金を増額して
[00:34:34] おります。15ページに移りまして、3巻
[00:34:38] 民請費福祉対策費の24節積立て金では
[00:34:44] 町内の医療機関への支援を目的に寄せられ
[00:34:49] た1件の寄付金を財源として保険医療福祉
[00:34:54] 基金積み立て金を新たに計上しております
[00:34:58] 。
[00:34:59] 子育て支援費の12節委託量では児童短期
[00:35:06] 入所の
[00:35:08] 需要利用数の増加に伴い予算に不足が
[00:35:13] 見込まれることから児童短期入所事業委託
[00:35:17] 量を増額しております。
[00:35:21] 児童措の18節負担金助及び交付金では
[00:35:26] 当初の見込みより出産数が増加し予算に
[00:35:31] 不足が見込まれることから妊婦支援給付金
[00:35:35] を増額しております。16ページをお開き
[00:35:38] 願います。4巻衛生費の予防費18節負担
[00:35:44] 金助及び交付金では町内司会委員の医療
[00:35:50] 機器更新に伴う支援事業の申請がありまし
[00:35:53] たので医療機と支援補助金を増額しており
[00:35:58] ます。環境衛生費の10節需要費に12節
[00:36:04] 委託量では音欲宿泊施設の後期延長に伴い
[00:36:10] 懲浴上の運営期間を今年11月末から来年
[00:36:15] 3月末までの4ヶ月間延長するために必要
[00:36:20] な経費をそれぞれ増額しております。17
[00:36:24] ページに移りまして6巻
[00:36:27] 農林水産業費農業振興の18節負担金補助
[00:36:33] 及び交付金では新規収納者に対する支援
[00:36:38] 制度である経営開始資金事業において物価
[00:36:43] 高等に伴う国の交付単価の改定に対応する
[00:36:47] ため農業次世代人材投資事業補助金を増し
[00:36:53] ております。また
[00:36:56] 労働力不足や機構変動に対応するため内の
[00:37:03] 地帯等の持続的な生産供給体制を構築する
[00:37:08] 事業の創設に伴い各取り組みに対する支援
[00:37:12] を行いた行うため
[00:37:15] 作物3治生産体制確率緊急あ強化緊急対策
[00:37:22] 事業補助金を新たに計上しております。牧
[00:37:27] 運営費の10節需要費では旧借価値牧場
[00:37:31] 管理等の給水設備の湿経対策として助子
[00:37:37] 付きを設置稼働していることにより予算の
[00:37:41] 不足が見込まれることから高熱推費を増額
[00:37:44] しております。18ページをお開き願い
[00:37:47] ます。7巻商費観光費の14節工事用費で
[00:37:54] は東大切層の下発水ポンプユニットが経年
[00:37:59] 劣化により
[00:38:01] 児童運転制御に支障が生じていることから
[00:38:05] 当該危機を更新するため東大切設備等回収
[00:38:10] 工事費を増額しております。借価値工原
[00:38:14] 整備費の10節需要費では借価値ぽの道の
[00:38:19] 強量が経年劣化により損傷し通行に支障が
[00:38:24] 生じていることから修繕費を修繕量を増額
[00:38:28] しております。19ページに移りまして、
[00:38:32] 10巻教育費、
[00:38:36] 図書館費では納社時期の都合により都合に
[00:38:40] より昨年度の購入を見送っていた移動図書
[00:38:45] のについて調達の準備が整ったことから
[00:38:51] 購入にかかる経費を新たに計上しており
[00:38:54] ます。進興18節負担金及び交付金では下
[00:39:01] の合宿団体の増加により予算に不足が
[00:39:05] 見込もられることからスポーツ合宿の差と
[00:39:08] 事業補助金を増額しております。20
[00:39:12] ページをお開き願います。学校給食費10
[00:39:16] 設費では帯広新金庫から学校給食提供食材
[00:39:23] 費として寄付金をいただきましたので
[00:39:26] 賄かない材料費を増額しております。
[00:39:30] A営温水プール管理費10節需業費では
[00:39:35] 経年劣化に伴い機械室の排水系統にある
[00:39:40] 水抜き線に不合が生じているため必要な
[00:39:43] 修繕量を増額しております。7ページに
[00:39:47] 戻りまして再入をご覧ます。
[00:39:58] 14巻使用量及び手数料衛生使用料では
[00:40:03] 懲営浴上の運営[鼻息]機関延長に伴い
[00:40:08] 見込まれる懲営浴上使用料を増額しており
[00:40:12] ます。8ページをお開き願います。15巻
[00:40:17] 国支出金民費補助金では妊婦支援給付金の
[00:40:22] 増額分の財源として妊婦のための支援給付
[00:40:27] 交金を増額しております。
[00:40:31] 9ページに移りまして16巻同支出金農林
[00:40:36] 水産業費補助金では農業次世代人材投資
[00:40:41] 事業補助金及び旗作物3地産
[00:40:47] 3地生産体制確率強化緊急対策事業補助金
[00:40:52] の財源として同補助金を増額及び新たに
[00:40:57] 計上しております。10ページをお開き
[00:41:00] 願います。11巻財産収入利子及び配当金
[00:41:05] では西都勝地森林組合からの配当金があり
[00:41:09] ましたので新たに計上をしております。
[00:41:13] 11ページに移りまして18巻寄付金民費
[00:41:18] 寄付金では個人から1件、教育費寄付金で
[00:41:22] は企業から2件の寄付金があった。
[00:41:26] 商費寄付金では任院大団体から1件
[00:41:31] それぞれご寄付をいただきましたので増額
[00:41:34] をいたしております。
[00:41:37] 12ページを開き願います。19間繰歴
[00:41:46] 財政調整基金繰金を増額し、夢基金事業の
[00:41:51] 財源として夢基金繰金を東接層の設備等
[00:41:56] 回収工事の財源として国民宿舎等備基金
[00:42:01] 繰り金を医療機器と支援事業の財源として
[00:42:06] 保険医療福祉基金繰歴をそれぞで増額して
[00:42:11] おります。13ページに移りまして22巻
[00:42:16] 調査では仮想対策事業祭にかかる健康増進
[00:42:20] 施設運営事業祭の限度額が確定したこと
[00:42:24] から調査を増額してございます。4ページ
[00:42:28] をお開き願います。
[00:42:35] 第2地方裁補正では健康増進施設運営
[00:42:39] 事業の記載額を変更しております。以上で
[00:42:43] 説明終わりますがよろしくご審議のほどお
[00:42:46] 願いいたします。
[00:42:59] これから質疑に入ります。
[00:43:02] 質疑がありましたら発言を許します。
[00:43:07] 中村議員。
[00:43:11] えっと、18
[00:43:13] ページの東大切の圧ポンプユニットの更新についてです。えっと、あの、頂いた資料とかにもよりますと、手導自動の切り替えができなくなってユニットを交換するということでした。それに加えて助機の設置ということです。
[00:43:29] えっと、手導自動が切り替えられないと
[00:43:32] いうことであれば、え、制御版の故障では
[00:43:35] ないかと考えられるのですが、えっと、
[00:43:37] まず
[00:43:39] ぽ、え、正業側の故障で多分その主導で
[00:43:42] 動いてるということはポンプがまだ動いて
[00:43:45] いるという状態であると考えております。
[00:43:48] それで今回なぜそのように、え、主導自動
[00:43:51] が切り替えられないと、え、自動ができ
[00:43:54] なくなったかという原因が何なのか、え、
[00:43:57] また、ま、故障原因そういったものですね
[00:43:59] 。それと今全部ユニットそのものを交換
[00:44:02] する根拠というものをすいません。お伺い
[00:44:05] いたします。
[00:44:11] 京行観光坂小佐は
[00:44:29] はい。え、中村議員の、え、ご質問にお
[00:44:32] 答えいたします。え、故障原因でござい
[00:44:34] ますが、え、ま、平成24年に、え、今の
[00:44:39] ユニットを、え、つけまして、ま、14年
[00:44:42] ほど経過しているっていうのがまず1つ。
[00:44:45] それと、え、地下にこのシステムが、え、
[00:44:48] 設置されておりまして、え、高温出の状況
[00:44:52] で蚊においてうん、なんて言うでしょう?
[00:44:55] 動いておりましたので、その2つが原因と
[00:44:58] 今見てございます。で、ユニット全体を
[00:45:01] 交換する理由ですが、え、ユニットって
[00:45:04] いうのはその、えっと、自動運転を制御
[00:45:08] する制御版とそれに基づいてその信号で
[00:45:12] 動く3のポンプ、それが連動して、え、
[00:45:15] 更新、え、給水ポンプユニットとして言わ
[00:45:19] れています。で、主導で、え、やりますと
[00:45:22] どうしてもあの人の手で行いますので1つ
[00:45:25] のポンプに過重がかかったりですね。と
[00:45:28] いうことで、え、うまくそのポンプのなん
[00:45:32] ちゅううまい運用って言うんでしょうかね
[00:45:34] 。それが自動なのでできないものですから
[00:45:38] 、え、全体を取り替えて、え、ま、営業
[00:45:42] 停止にならないような措置にするというの
[00:45:44] が今回の工事の目的でございます。以上
[00:45:47] です。
[00:45:49] [咳払い]
[00:45:50] 9番中村議員。
[00:45:52] えっと、まず高音多質は原因ということ
[00:45:56] でしたが、ま、高温多は原因というか環境
[00:45:59] でして、えっと、ちょっと僕もメーカーの
[00:46:01] 方調べたんですけれども、え、稼働使用
[00:46:05] 環境条件ですね、ま、統計等のポンプです
[00:46:08] と、ま、温度40、え、0°から40°、
[00:46:11] 湿度20°から85%が使用環境条件とし
[00:46:15] て出されております。まずこれを超えてい
[00:46:18] たかどうかっていうのはちょっと確認し
[00:46:20] たいんですけれども、多分その、え、巡の
[00:46:23] 時に温度や湿度というものを図ってるかと
[00:46:25] 思います。それが実際にこの使用を超えて
[00:46:28] いなければ高温達出とはならないとは私は
[00:46:31] 考えております。
[00:46:34] えっと、それとですね、あの、
[00:46:39] ま、軽年劣化ということもあるかと思い
[00:46:41] ます。え、合わせて僕調べました。えっと
