# source: https://www.youtube.com/watch?v=igK2MirgtK8
# video_id: igK2MirgtK8
# fetched: 2026-09-23T12:28:36.250Z
# segments: 277

[00:00:29] 令を行います。
[00:07:03] として普通交付金を増額しております。7
[00:07:07] ページに移りまして4巻繰例金では今回の
[00:07:11] 補正の財源調整として基金繰歴を増額して
[00:07:15] おります。以上で説明を終わりますが
[00:07:17] よろしくご審議のほどお願いいたします。
[00:07:30] これから質疑に入ります。質疑ありまし
[00:07:33] たら発言を許します。
[00:07:36] これを持って質疑を集結いたします。本件
[00:07:39] について討論はありませんか?
[00:07:43] 討論はないようですんで、これから議案第
[00:07:46] 72号を採決いたします。
[00:07:51] 本園は原案の通り決することに賛成議員の
[00:07:55] 挙を求めます。
[00:07:58] 挙種全員でありますよって議案第72号は
[00:08:03] 原案の通り可決されました。
[00:08:11] 日程第3議案第73号議員派遣の件を議題
[00:08:17] といたします。お分かりいたします。
[00:08:20] 本件については会議則第
[00:08:23] 39条第2
[00:08:25] 項の規定により提案流の説明を省略することにいたしたいと思います。これにご異議ございませんか?
[00:08:34] 異なしと認みます。よって本件については提案流の説明をことに決しました。
[00:08:41] 本件は原案の通り実する実施することと
[00:08:44] しこれにかかる議員の出張並びに最後の
[00:08:50] 取り扱いはあらかじめ議長に一任願いたい
[00:08:53] と思います。これにご異議ございませんか
[00:08:55] ?
[00:08:57] 意義なしと認めます。よって議案第73号
[00:09:02] は原案の通り実施することとしこれに
[00:09:06] かかる議員の出張並びに最後の取り合い
[00:09:09] 扱いはあらかじめ議長に一任することに
[00:09:13] 決しました。
[00:09:18] 日程第4認定第1号令和7年度新得庁各
[00:09:23] 会計歳入歳出決算認定についてお期待と
[00:09:27] いたします。
[00:09:29] 本件に関する特別委員会決算あ、決算特別
[00:09:34] 委員会の決算審査結果報告書は別や配布の
[00:09:39] 通りであります。これより採決いたします
[00:09:43] 。本件に関する委員長報告は認定議決で
[00:09:47] あります。本件は委員会の決算審査結果
[00:09:52] 報告書の通り認定することに賛成議員の挙
[00:09:56] を求めます。
[00:10:00] 挙種全員であります。よって令和7年度
[00:10:04] 新徳長各会計歳入歳出決算認定について
[00:10:09] これを認定することに決しました。
[00:10:18] 日程第5認定第2号令和7年度新徳長水道
[00:10:23] 事業会計決算認定についてを議題といたし
[00:10:27] ます。
[00:10:28] 本件に関する決算特別委員会の決算審査の
[00:10:32] 結果報告書は別配布の通りであります。
[00:10:37] これによりこれより採決いたします。本件
[00:10:41] に関する委員長報告は認定期決であります
[00:10:46] 。本件は委員会の決算審査結果報告書の
[00:10:50] 通り認定することに賛成議員の挙を求め
[00:10:54] ます。
[00:10:58] 全員であります。よって令和7年度新徳庁
[00:11:02] 水道事業会計決算認定についてこれを認定
[00:11:07] することに決しました。
[00:11:10] 日程第6
[00:11:12] 認定第3号令和7年度新徳長公共下水道
[00:11:18] 事業会計決算認定について議題といたし
[00:11:22] ます。本件に関する決算特別委員会の決算
[00:11:27] 審査結果報告書は別配布の通りであります
[00:11:30] 。これより採決いたします。本件に関する
[00:11:34] 委員長報告は認定期決であります。本件は
[00:11:40] 委員会の決算審査結果報告書の通り認定
[00:11:45] することに賛成議員の挙を求めます。
[00:11:49] 九州前でありますよって令和7年度新徳長
[00:11:54] 公共下水移動事業
[00:11:57] 会計決算認定についてこれを認定すること
[00:12:00] に決しました。
[00:12:03] 日程第7意見案第8号国土強人化に指する
[00:12:09] 社会資本整備等に関する意見書を議題と
[00:12:13] いたします。お諮りいたします。本件に
[00:12:16] ついてはペシ報告書の通りであります。
[00:12:19] 委員長の報告書説明は会議規則第
[00:12:23] 41条第3
[00:12:24] 項の規定により省略することにした省略することにいたします。これにご異議ございませんか?
[00:12:33] 異議なしと認めます。よって本件については報告書の説明を省落することに決しました。
[00:12:41] 本件について質疑はございませんか?これを持って質疑を集結いたします。本件について討論はありませんか?討論はないようですんで、これより意見与え
[00:12:57] 8
[00:12:57] 号を採決いたします。本件に関する委員長の報告は現案可欠決であります。本件は委員長の報告することに賛成
[00:13:08] 議員の挙を求めます。
[00:13:12] 挙州全員であります。よって本件は委員長
[00:13:15] の報告
[00:13:17] とすることに決しました。
[00:13:22] 日程第8意見案第9号急する奨学金の金利
[00:13:28] に対する負担軽減を求める意見書を議題と
[00:13:32] いたします。お諮りいたします。本件に
[00:13:35] ついてはとペシ報告書の通りであります。
[00:13:39] の報告書説明は会議規則第41条第3項の
[00:13:44] 規定により省略することにいたします。
[00:13:47] これにご異議ございませんか?
[00:13:50] 異議なしと認めます。よって本件について
[00:13:53] は報告書の説明を省略することに決しまし
[00:13:57] た。本件について質疑はございませんか?
[00:14:03] これを持って質疑を集結いたします。本件
[00:14:06] について討論はありませんか?
[00:14:10] 討論はないようですんで、これより意見値
[00:14:13] 9号を採決いたします。本件に関する委員
[00:14:16] 長の報告は原案可欠であります。本件は
[00:14:21] 委員長の報告通り決することに賛成議員の
[00:14:24] 挙を求めます。
[00:14:28] 挙種全員でありますよって本件は委員長の
[00:14:31] 報告通り通りとすることに決しました。
[00:14:37] 日程第9意見第10号備蓄水準の早期回復
[00:14:43] を求め
[00:14:45] えなか生かな生かな生食用社会がの輸入金
[00:14:52] を行うことを求める意見書を議題といたし
[00:14:56] ます。お諮りいたします。本件については
[00:14:59] 別子報告の通りであります。委員長の報告
[00:15:03] 説明は会議規則第41条第3項の規定に
[00:15:07] より省略することにいたします。これに
[00:15:10] ご異議ございませんか?
[00:15:12] 異議なしと認めます。よって本件について
[00:15:15] は報告書の説明を省略することに決しまし
[00:15:18] た。本件について質疑はございませんか?
[00:15:23] これを持って質疑を集結いたします。本件
[00:15:26] について討論はありませんか?
[00:15:29] 討論はないようですんで、これより意見案
[00:15:32] 第10号を採決いたします。本件に関する
[00:15:36] 委員長の報告は原可欠であります。本件は
[00:15:40] 委員長の報告通り決することに賛成議の
[00:15:44] 挙者を求めます。
[00:15:47] 挙でありますよって本件は委員長の報告
[00:15:51] 通りとすることに決しました。
[00:15:57] 日程第10賃常第1
[00:15:59] 号経由取引税の課税免特例措置のき取り税
[00:16:08] 特例措置でね
[00:16:10] 引き取り税取引税
[00:16:12] あ取引税の課風免除
[00:16:17] 引き取り税
[00:16:19] 経由引き
[00:16:19] 経由取引税
[00:16:20] 引き取り
[00:16:21] あはい失礼しました引き取り税の
[00:16:25] 課税免除特例措置の継続を求める賃を議題
[00:16:29] といたします。お諮りいたします。本件に
[00:16:32] ついては特別報告書の通り、あ、別報告書
[00:16:37] の通りであります。委員長の報告書説明は
[00:16:40] 会議省第41条第3項規定により省略する
[00:16:44] ことにいたします。これにご異議ござい
[00:16:47] ませんか?
[00:16:48] 異議なしと認めます。
[00:16:50] よって本件については報告書の説明を省略することに決しました。本件について質疑はございませんか?これを持って疑を集結いたします。本件について討論はありませんか?討論はないようですんで、これより賃常第
[00:17:09] 1
[00:17:09] 号を採決いたします。本件に関する委員長の報告は最択であります。本件は委員長の報告通り消することに賛成の挙を求めます。
[00:17:22] 挙州であります。よって鎮第1号は委長の
[00:17:26] 委員長の報告通りとすることに決しました
[00:17:29] 。
[00:17:31] お諮りいたします。ただ今ま産業文教常任
[00:17:34] 委員会深原智友之行委員長から意見案第
[00:17:39] 11号が追加提案されました。この際これ
[00:17:43] を日程に追加し、順次
[00:17:48] 順序の変更をしていたして直ちに議題にし
[00:17:53] たいと思います。これにご異議ございませ
[00:17:55] んか?
[00:17:57] 異議なしと認めます。下って従って意見案
[00:18:01] 第11号を日程に追加し、順序の変更をし
[00:18:05] て議題にすることを決しました。追加議案
[00:18:09] 配布のため次休憩いたします。
[00:18:14] よいしょ。
[00:19:23] いいですか?
[00:19:26] はい、休憩を時再開いたします。
[00:19:31] 追加日程第11意見案第11号
[00:19:36] 経由引き取り税の課税免除特例措置の継続
[00:19:41] を求める意見書を議題といたします。お
[00:19:44] 諮りいたします。本件については会議規則
[00:19:47] 第41条第3項の規定により提案理由の
[00:19:52] 説明を省略することにいたします。これに
[00:19:55] ご異議ございませんか?異議なしと認め
[00:19:59] ます。
[00:20:00] よって本件については報告書の説明を省略することに決しました。本件について質疑はございませんか?これを持って質疑を集結いたします。
[00:20:21] 本件について討論はありませんか?
[00:20:25] 討論はないようですんで、これより意見案
[00:20:28] 第11号を採決いたします。本件に関する
[00:20:32] 意見案は原案の通り決することに賛成議員
[00:20:35] の挙を求めます。
[00:20:39] 挙州全員であります。よって意見案第11
[00:20:43] 号は原案の通り
[00:20:46] 原案の通りとすることに決しました。
[00:20:49] 日程第12閉会中の継続審査及び調査の
[00:20:55] 調査の申し出について議題といたします。
[00:20:59] お諮りいたします。各委員長から会議規則
[00:21:02] 第75条の規定によりお手元に配布の通り
[00:21:07] 申し出がありました。各委員
[00:21:09] 長からの申し出の通り、閉会中の継続審査及び調査とすることに意義ございませんか?意義なしと認めます。よって、各委員長からの申し出の通り、警会中の継続審査及び調査することに決しました。これにて本会議に議されました件の審議は全て終了いたしました。
[00:21:38] よって令和8年定例第3
[00:21:41] 回新徳議会を閉いたします。
[00:21:46] 修礼を行います。
[00:21:48] お疲労様でした。
