# source: https://www.youtube.com/watch?v=1-X2MCzENes
# video_id: 1-X2MCzENes
# fetched: 2026-09-23T12:27:46.562Z
# segments: 233

[00:00:38] 休憩を時再開いたします。11番上野
[00:03:35] の足の覚悟に力を注いでいただければと
[00:03:39] 考えます。で、その上で現状の改善に向け
[00:03:45] 以下の2点について町長のご出験を伺い
[00:03:49] ます。え、1つ目、高齢者サロンへの参加
[00:03:53] を促進するため、移動支援などに取り組む
[00:03:56] 考えはないのか。え、2つ目、物価等に
[00:04:01] 伴いタク料金も上昇していることから、
[00:04:05] 高齢者の外出支援を目的として
[00:04:10] 両料金の補助増額または支援拡充を行う
[00:04:15] ことはできないのか。以上お伺いいたし
[00:04:17] ます。
[00:04:21] 町長ご答談願います。
[00:04:33] 青柳議議員のご質問にお答えします。高齢
[00:04:37] 者サロン事業は家に閉じこもりがちな高齢
[00:04:39] 者に対し生がいと社会参加を促進すると
[00:04:43] ともに孤立感の解消や自立生活を支援する
[00:04:47] ため介護保険制度において推奨される事業
[00:04:50] であります。本長におきましても平成20
[00:04:54] 年より社会福祉協議会へ事業委託を行い各
[00:04:58] 団体の自主的な活動支援を実施している
[00:05:01] ところであります。1点目の移動支援など
[00:05:04] についてでありますが、サロン事業は地区
[00:05:07] ごとにボランティアによるご協力を
[00:05:09] いただきながら、高齢者の生き作りや介護
[00:05:12] 予防につがる活動を基本に内容や運営方法
[00:05:16] は各サロンが自主的に行っていただいて
[00:05:20] おります。制度化されてから18年が経過
[00:05:23] し、この間社会情勢が変化していることや
[00:05:27] 参加者の減少傾向も踏まえ、町としても
[00:05:30] サロンのあり方について見直しが必要な
[00:05:33] 時期と認識をしております。健康街づりの
[00:05:37] 推進におきましては日常の中で無理なく
[00:05:41] 歩き体を動かすことそのものがフレールや
[00:05:45] 認知症要望につがるものです。一方で移動
[00:05:48] に困難を感じる方々への寄り添いも不可欠
[00:05:51] であり、その両立を図ることも重要であり
[00:05:54] ます。今後におきましては、各サロンと
[00:05:58] 委託先の社会福祉協議会とも意見を交わし
[00:06:01] ながらサロンへの参加促進について移動
[00:06:04] 手段の確保を含めどういった支援があれば
[00:06:07] 多くの町民が参加できるか総合的に検討を
[00:06:11] したいと考えております。2点目の
[00:06:14] タクシー料金の補助についてでありますが
[00:06:16] 、先の桜田議員にもお答えいたしましたが
[00:06:19] 、町では平成27年4月より自価を持た
[00:06:23] ない高齢者や障害者の日常生活の利便性
[00:06:27] 向上及び生活行動範囲の拡大を図るため、
[00:06:31] 福祉交通費事業としてタクシー権の助成を
[00:06:35] 行っております。これまでも利用者の利便
[00:06:38] 性を考み、複数回の制度見直しを行って
[00:06:41] まいりました。直近ではタクシー運賃の
[00:06:45] 値上げに伴い令和6年に女性学の増額を
[00:06:48] 実施したところです。今後におきましても
[00:06:52] 運賃改定の状況を中視し、適切なあり方に
[00:06:55] ついて引き続き検討してまいります。以上
[00:06:58] です。
[00:07:10] 君。
[00:07:13] はい、ご答弁ありがとうございました。
[00:07:15] え、1点目の答弁として、え、各サロンと
[00:07:19] 委託先の社会協議会を含め、え、サロンの
[00:07:22] 味方について足の確保を含め検討したいと
[00:07:26] の答弁をいただきましたが、え、これは
[00:07:30] 現状としてご単体の高齢者サロン事業の
[00:07:34] 活性化に向けてさらなる事業効果を目指す
[00:07:38] ものと極めて前向きな答弁と受け止めまし
[00:07:42] た。では、え、足の確保に向けて今後どの
[00:07:47] ような事業計画を考えておられるのか、ま
[00:07:51] 、差し使いのない範囲でご答弁いただき
[00:07:54] たいと思います。え、2点目のタクシー
[00:07:57] チケットについては運賃改定の状況を中止
[00:08:01] し、適切なあり方について引き続き検討し
[00:08:06] ていただくということでありますけれども
[00:08:08] 、ま、これまで令和2年度には免許自主
[00:08:13] 変能者への交付額の拡大、令和5年度には
[00:08:17] 、ま、いざという時のために利用を
[00:08:20] 貯めらう傾向を緩和するために利用期間を
[00:08:24] 2年間としております。で、令和6年度に
[00:08:28] はタクシー料金の改正に合わせて見直しを
[00:08:30] しております。ま、今年令和8年度に入り
[00:08:33] ましてはタクシーチケットの利用範囲を
[00:08:36] タクシーのみならず、え、優勝、あ、優勝
[00:08:41] 輸送、もう1つは空白地域輸送にも使用
[00:08:45] できるよう、ま、利用拡大を図ったという
[00:08:49] 経緯があります。ま、引き続きあり方に
[00:08:52] ついて検討していただきたいと思います
[00:08:55] けども、この適切なあり方ということで
[00:09:00] ありますけども、ま、言葉で言えば適切な
[00:09:02] あり方でありますけども、どのような
[00:09:05] ケースが考えるのかを合わせて、え、ご
[00:09:08] 答弁いただきたいなと思います。
[00:09:13] 長
[00:09:16] はい。ま、高齢者サロンなんですけれども
[00:09:19] 、全体の活性化というものを考える上で、
[00:09:22] え、ま、事業計画進め方についてであり
[00:09:25] ます。ま、現在町で把握してる課題と
[00:09:27] いたしましては、ボランティアの皆さんの
[00:09:29] 高齢化であったり、利用者自体の減少
[00:09:32] そしてやはり、え、先ほど上議員から言わ
[00:09:35] れている足の確保などが主な課題という風
[00:09:37] にお聞きしております。ま、今後の進め方
[00:09:40] としましてはですね、まず第1に殺に
[00:09:43] サロン事業の委託先である社会福祉協議会
[00:09:45] と各サロンを交えてですね、意見交換と
[00:09:48] いうものを行いながらサロン全体の活性化
[00:09:51] に向けた課題の把握というものに務めて
[00:09:53] まいりたいなという風に考えております。
[00:09:55] ま、その中で足の確保をどうしていくのか
[00:09:58] 、ま、サロン全体の活性化をどうしていく
[00:10:00] のかということを検討してまいります。え
[00:10:03] 、ま、その上でなんですけれども、支援策
[00:10:05] の検討にあたりましては介護保険制度での
[00:10:08] 事業となりますから、なりますことから、
[00:10:11] え、公平性や受益者負担というものを加し
[00:10:13] た中でどのように制度を組んでいけるかが
[00:10:16] 課題となってくるかと思います。この点に
[00:10:19] つきましても関係機関と協議をしながら、
[00:10:22] え、検討を進めてまいりたいと考えており
[00:10:24] ます。で、タクシーチケットでございます
[00:10:27] けれども、ま、適切のあり方というところ
[00:10:30] なんですが、ま、あの、これまでと同じ
[00:10:33] ような形になってしまうかなと思います。
[00:10:36] え、タクシー料金が上がればそれに見合っ
[00:10:38] た分の、え、増額をしていくということを
[00:10:41] してきましたので、今後もそういった方向
[00:10:43] 性で、え、タクシーの女性については検討
[00:10:46] できるのかなという風に考えております。
[00:10:48] 以上です。
[00:10:53] はい。え、ま、今後ですね、ま、運営協議員会等ですね、ま、図りながら、ま、進めていきたいという答弁でありました。
[00:11:01] え、今朝ほどのですね、ま、新聞により
[00:11:03] ますと、え、都価地館内の、ま、100歳
[00:11:07] 以上の方々がですね、ま、384人という
[00:11:11] ことで、ま、前年度13名増えたと、ま、
[00:11:14] 間もなく400名になるというですね、ま
[00:11:16] 、報道がありましたけども、え、ま、認知
[00:11:20] 症の予防というのは、ま、とにかく高齢者
[00:11:24] の皆さんが外出して、ま、人と人とのです
[00:11:28] ね、持つということがですですね、ま、
[00:11:31] 最大の、ま、予防策だという風に言われて
[00:11:34] おります。まあ、100歳以上となると
[00:11:36] ですね、これはもう、ま、大変な、ま、
[00:11:39] 年月でありますけどもね、ま、新徳の町民
[00:11:41] の皆さんが、ま、元気でですね、ま、町長
[00:11:45] に言うように健康、ま、やかでですね、
[00:11:50] 幸せな街づりですから、ま、その方向に
[00:11:53] ですね、これ皆さんが、ま、安心して
[00:11:56] 暮らせるですね、街づりを進めるというの
[00:11:58] が、ま、町長の1つの柱になっております
[00:12:00] 。ま、そういう意味でね、あの、ま、町々
[00:12:04] 今時点のですね、ま、安心高齢
[00:12:08] 者の皆さんがですね、え、今時点でどの
[00:12:11] ようなことをお考えになってるか、ま、
[00:12:12] 改めてお聞きしたいなと思います
[00:12:24] 。
[00:12:28] はい。はい。
[00:12:32] はい。あの、ま、健康街づりについてどう
[00:12:35] 考えているのかっていうようなご質問に
[00:12:37] ちょっと、え、スライドしたかなと思うん
[00:12:39] ですけれども、あの、ま、健康待ちづりと
[00:12:41] いうところで認知症の最大の予防は外に
[00:12:44] 出ることていうのはその通りであるという
[00:12:45] 風に認知しております。で、ま、健康
[00:12:48] 街づりの1つとしてさっきにも申し上げ
[00:12:51] ましたけれども、歩いて健康を増進すると
[00:12:55] いうのが金になります。あの、ま、その
[00:12:57] ためにも積極的に歩いて外に出て認知症に
[00:13:01] なるのを少しでも送らせていただく、そう
[00:13:03] いった政策を取りたいなという風に考えて
[00:13:05] おります。ま、もちろん、え、今ある
[00:13:07] サロンに通いづらくなってるという声も
[00:13:10] ありますので、そういったところとどう
[00:13:12] いう風に整合性を図っていくのか、そう
[00:13:14] いったところもしっかりと見ながらですね
[00:13:16] 、え、取りこぼしのようにお1人お1人の
[00:13:20] 健康というものを守っていきたいなという
[00:13:23] 風に思いますし、え、ま、認知症はそうな
[00:13:26] んですけれども、いかに長く自分のことは
[00:13:30] 自分でできるという期間を長くしてですね
[00:13:32] 、え、元気に過ごしていただけるかとと
[00:13:36] いうところがその健康街づりのポイントで
[00:13:38] もありますので、あの、ま、認知症自分
[00:13:42] の自立した生活を1日でも長く続けて
[00:13:46] いただけるような政策というものを、え、
[00:13:48] しっかりと、え、気づいていきたいなと
[00:13:50] いう風に考えております。以上です。
[00:13:55] はいはい。
[00:14:14] これにて一般質問を集結いたします。お諮りいたします。
[00:14:19] 議案調査のため9月17日は9回
[00:14:24] 9回することにいたしたいと思います。
[00:14:27] これにご異議ございませんか?異議なしと
[00:14:30] 認めます。よって9月17日は9回する
[00:14:34] ことに消しました。以上を持って本日の
[00:14:38] 日程は終了いたしました。本日はこれを
[00:14:42] 持って参加いたします。終を行います。お
[00:14:46] 疲れ様でした。
