# source: https://www.youtube.com/watch?v=b4LLwOXfTvM
# video_id: b4LLwOXfTvM
# fetched: 2026-09-23T12:21:14.638Z
# segments: 1580

[00:00:29] 令ます。
[00:06:51] やに住まを必要とする低額所得世帯の居住
[00:06:56] 安定を図るためセーフティネット機能を
[00:06:59] 維持してまいりたいと考えております。
[00:07:01] また事業が減少し秋が生じている公営住宅
[00:07:05] につきましては国の制度等も活用しながら
[00:07:09] 一般の公営住宅から低重促進住宅等への
[00:07:13] 用途変更など幅広い活用の可能性を検討し
[00:07:17] てまいります。福祉的配慮が不可欠な低
[00:07:21] 所得者への居住の安定を守りつつ一方で
[00:07:24] 柔軟な住宅管理により定住を望む修業者や
[00:07:29] 子育て世代を町内に提重させる政策を検討
[00:07:31] してまいりたいと思っております。2点目
[00:07:34] の持建設住宅促進制度と秋屋活用制度の
[00:07:39] 拡充についてでございますが、持住宅
[00:07:43] 促進制度は町内における持進
[00:07:48] するため、住宅を建設した場合に議学を
[00:07:52] 20万円とし、最大100万円をお祝い金
[00:07:55] として助成しております。また秋屋活用
[00:07:59] 促進制度につきましては町内における秋屋
[00:08:02] の活用を促進するため秋屋の回収に必要な
[00:08:06] 費用に対し上限額を100万円として条例
[00:08:09] 金を交付しております。本制度につきまし
[00:08:12] ては令和5年度に上限額の増額を行ったほ
[00:08:16] 、本年度からは自ら行う回収工事も省例金
[00:08:20] の対象として制度の拡充を図ってきた
[00:08:23] ところであります。昨音住宅建設費が高騰
[00:08:27] しておりますが、現行制度はあくまで後
[00:08:31] するお祝い金、奨例金であり、当面は
[00:08:34] さらなる金額の増額をすることは考えて
[00:08:37] おりません。なお、中古住宅への対象拡大
[00:08:41] につきましては、空や活用促進制度との
[00:08:45] 目的や対象などの兼合いもあることから
[00:08:48] 今後どうあるべきか慎重に検討してまいり
[00:08:51] たいと思います。以上です。
[00:09:04] 神村議員、
[00:09:06] ご答弁ありがとうございました。
[00:09:08] ええ
[00:09:10] 、超町地域の活性化にはそこに人が住む
[00:09:15] ことが肝心であり、時代背景やそこに住む
[00:09:19] 人の状況に合わせた銃環境の整備が重要で
[00:09:23] あることは共通認識と思います。収営住宅
[00:09:27] に関する施策に関してはご答弁のように
[00:09:31] 進めていただき、より柔軟な対応により
[00:09:34] 居住者の獣環境が向上しそのことが定に
[00:09:38] つがることを期待したいと思います。1回
[00:09:42] 目の質問でもお話ししましたが相当数の
[00:09:46] 懲役住宅が空いていると感じております。
[00:09:50] 先ほどの答弁では空いている住宅について
[00:09:53] は低重促進住宅への用途変更などを検討さ
[00:09:57] れているとのことですが老朽化により解体
[00:10:01] する住宅もあると思いますし徳長の規模に
[00:10:05] 見合う適正な管理も考えながら進めていく
[00:10:09] ことが重要と思います。適正な管理数と
[00:10:13] することで最小の管理費で無駄な悪質も
[00:10:17] なくなり解体するのであればそれにより
[00:10:20] 相土地は低住促進等のため有効活用できる
[00:10:24] のではないかと思います。そこで2回目の
[00:10:28] 質問の1点目ですが、雇宅における現状の
[00:10:32] 管理個数と空いている個数はどのくらいで
[00:10:35] 、どの程度の解体を予定しており、将来的
[00:10:39] にはどの程度の管理個数を考えているのか
[00:10:42] 、もしあればお聞きしたいと思います。私
[00:10:45] がったり市長の、え、頃も気にはなってい
[00:10:49] ましたが、ったり地域にも長期間使われて
[00:10:52] いない空が結構ありました。答弁にあたり
[00:10:56] 全体の数値の他くったり地域における数値
[00:10:59] についても分かるのであれば合わせて教え
[00:11:01] ていただきたいと思います。さて住宅建設
[00:11:05] 費は先ほども言った通りここ数年で相当
[00:11:09] 高市、え、町内の住宅進築個数もかなり
[00:11:14] 減少しているのではと思います。知恵を
[00:11:17] 持っていただくことは定住促進には非常に
[00:11:20] 有効であり、こういう時期だからこそ施策
[00:11:23] の拡充によるモチベーションアップを狙っ
[00:11:26] ていくことは必要だと思います。また知恵
[00:11:30] 対策を推進することによる福自的な効果と
[00:11:34] して所得等の関係で公営住宅を退去せざる
[00:11:37] を得なくなった人が退去後に新徳町内で
[00:11:41] 持ちを持っていただくということも期待
[00:11:43] できるのではと思います。そこで2回目の
[00:11:47] 質問の2点目ですが、お祝い金の中古住宅
[00:11:50] への対象拡大についてどうあるべきか検討
[00:11:53] するとの答弁をいただきましたが、新築の
[00:11:56] ハードルが相当高くなってきていること
[00:11:58] から中古住宅へのニーズにシフトしている
[00:12:02] ことが考えられます。制度拡充の検討を
[00:12:05] さらに加速させ、具体的には来年度予算
[00:12:08] 刑示に向けて是非お願いしたいと思います
[00:12:11] 。ご答弁をお願いいたします。
[00:12:15] 長長。
[00:12:19] はい。え、まず1
[00:12:21] 点目の数値についてなんですけれども、こちらにつきましては担当家の方から後ほど答えさせていただきます。で、新、え、新築の建築費、これが高騰しているというところですね。で、あの中古宅の方にがしているんではないのかということはとしても共有の課題として認識をしているところでございます。
[00:12:41] で、岡村議員におかりましてはですね、
[00:12:43] かつてくったり市長として地域の最前線で
[00:12:46] 住民の暮らしであったり、行政運営の現場
[00:12:49] というものを担って来られたご経験から
[00:12:52] 公営住宅の管理であったり地域進行低住
[00:12:55] 促進を両立させることの難しさであったり
[00:12:57] 制度の壁につきましてもどなたよりも熟地
[00:13:00] されているのではないかなという風に感じ
[00:13:02] ております。え、持策を中古住宅へ拡大
[00:13:05] するということにあたりましては、既存の
[00:13:08] 秋屋の活用促進制度との整合を図るという
[00:13:12] ことであったり、制度の重複ということは
[00:13:14] 元よりですね、民間賃貸アパートや不動産
[00:13:17] の流通など民間の事業活動の校の支援が
[00:13:21] 圧迫することのないように校と民の役割
[00:13:24] 分担というものを慎重に見極める必要も
[00:13:27] あるんではないのかなという風に思って
[00:13:28] おります。
[00:13:29] ま、地域の実情であったり、課題の積み重ねというものを踏まえつつ、または民間市場への影響であったり、財源の状況など総合的に勘案して来年度の予算編成に向けて、ま、どのような制度設計というものが可能なのかということを検討してみたいという風に考えております。
[00:13:48] 長崎施設は
[00:13:55] はい。数値につきましては、え、私の方
[00:13:58] からお答えいたします。え、1点目の公営
[00:14:01] 住宅の現状の管理数と空いている個数に
[00:14:05] ついてですが、え、令和7年度末時点で
[00:14:08] 公営住宅が611個、低重促進住宅が46
[00:14:14] 個となっており、え、空いてる個数は解体
[00:14:17] 予定物件を含め、え、249個となって
[00:14:21] おります。え、解体予定についてですが、
[00:14:25] 令和17年度までに131個の解体を計画
[00:14:29] しております。え、次に将来の管理コスに
[00:14:33] ついてですが、令和17年度末で公営住宅
[00:14:39] 44個、低住促進住宅が82個とし、令和
[00:14:45] 27年度末では公営住宅が325個、低住
[00:14:51] 促進住宅50個と想定しております。え、
[00:14:56] くったり地域につきましては令和17年度
[00:15:00] では公営住宅117個、低住促進住宅
[00:15:05] 700あ、71個、令和27年度末で、え
[00:15:09] 、公営住宅が62個、定住住宅50個と
[00:15:15] 想定しております。え、昨年度公営住宅等
[00:15:19] 超寿命化計画の見直しを行いまして、その
[00:15:22] 数値でございます。
[00:15:24] え、こちらの計画長のホームページに載せてございますので、え、さらなる詳細は、え、そちらをご覧いただけらたらだけたらと思います。以上です。
[00:15:36] 岡村議員、
[00:15:38] え、ご答弁ありがとうございました。
[00:15:40] え、ま、細かい数字まで聞いてしまいまし
[00:15:42] たけれども、え、いずれにしろですね、
[00:15:46] あの、ずっとこう新徳長、あの、声住宅
[00:15:50] っていう部分で言えば重要な施策だっ
[00:15:52] たっていう風に私も思ってございます。え
[00:15:55] 、ま、あの、世の中がどんどん変わってき
[00:15:59] て本当にあの、住宅建設には本当にお金が
[00:16:02] かかるっていうような状況もなっています
[00:16:04] ので、今後もですね、あの、本当にこう
[00:16:07] 住宅上がるのもすごいスピードで上がっ
[00:16:09] てるんですよね。ということはもう世の中
[00:16:11] すごいスピードで変わってきて
[00:16:12] るっていうのはちょっと実感している。
[00:16:14] そこな、そこら辺も含めてですね、あの、
[00:16:16] ま、迅速なと言っても私も、ま、過去に
[00:16:20] あの八橋区やってましたからなかなかこう
[00:16:22] 難しいってのはもう十分かっています
[00:16:24] けれども、あのスピードスピード感のある
[00:16:28] あの検討ですとか改底ですとかをお願いし
[00:16:32] て、え、最後の、え、質問にさせて
[00:16:35] いただきます。以上です。
[00:16:39] 長
[00:16:41] はい。え、住まいの確保というのは切実な課題であるという風に思っております。
[00:16:47] ただ一方でですね、手厚い支援だけでは
[00:16:49] 健全で持続可能なその低重促進につがら
[00:16:52] ないんではないかなという側面もあります
[00:16:54] ので、え、自前でローンを組んでですね、
[00:16:57] 一生懸命住まを確保して皆さんと同じよう
[00:17:00] に税金を収めている方もいらっしゃるわけ
[00:17:02] ですから、そういった中で不幸を抱かれて
[00:17:05] しまってはですね、結果としてやはり地域
[00:17:08] コミュニティというものが推定し、あの、
[00:17:10] 衰退してしまう。そういった懸念もござい
[00:17:12] ます。え、としてはやはり限られたこの
[00:17:15] 財源というものをバランスよく配分して
[00:17:17] いくということが必要になってくるのかな
[00:17:19] という風に思っております。ま、繰り返し
[00:17:21] になりますけれども、今あるものの用途
[00:17:24] 変更などですね、ニーズというものをまず
[00:17:27] 調査させていただきながら、え、
[00:17:29] 長寿目計画に則、え、公営住宅の管理と
[00:17:32] いうものを、え、していきたいという風に
[00:17:34] 考えております。以上です。
[00:17:52] 1番松山風也議
[00:17:54] うん。
[00:18:16] え、今回通告に従いまして2項目ほど、え
[00:18:21] 、ご質問をさせていただき[咳払い]たい
[00:18:24] なと思います。え、まず1項目です。え、
[00:18:28] 舗送道路及びほど薄い排水の超寿命化修繕
[00:18:33] 計画の策定についてということでご質問さ
[00:18:36] せていただきます。日頃より道路管理担当
[00:18:40] 職員の皆様におかれましては安全に配慮
[00:18:43] するための道路パトロールや警備な補修
[00:18:46] などごをいただき心より感謝申し上げます
[00:18:50] 。新徳町にはちょうどとして管理している
[00:18:54] 道路の実延長は41万3598.68m
[00:19:00] あり、そのうち22万8761.92m
[00:19:05] については舗装道路となっております。
[00:19:08] また歩の延長については
[00:19:11] 6万8985.95m
[00:19:15] と事業概要に書かれております。さて、舗
[00:19:20] 道路については当期間の凍結誘拐や近年の
[00:19:25] トラの大型化など道路を改良増成した当時
[00:19:30] から社会情勢が大きく変化をしたことに
[00:19:33] より廊下が以前より加速していると感じて
[00:19:38] おります。日々パトロなどで小さな穴や
[00:19:42] 気裂の補修を実施していただいてることは
[00:19:46] 承知をしておりますが、抜本的な
[00:19:49] オーバー例などはなかなか予算の関係も
[00:19:53] ありされていないのが現状であります。
[00:19:57] 新徳長においても高度成長期等に増成され
[00:20:01] た道路が多いと思います。年度で多くの
[00:20:05] 道路をオーバーレーを実施することは限ら
[00:20:08] れた予算の中ではなかなか難しいところは
[00:20:13] 私も理解をしているところでありますが
[00:20:16] 表題にありますように超寿命化修繕計画を
[00:20:20] 作成し計画的な実施をするべきではないか
[00:20:25] と思います。道路と合わせてほとの回収に
[00:20:29] ついても、え、過去にも町民や各団体から
[00:20:34] 要望を多く寄せられておると思います。
[00:20:38] 今後さらに高齢化が進むことを考慮すると
[00:20:42] 市街地においては生活道路、農村部におい
[00:20:46] ては生活道路及び産業道路を兼ねたライフ
[00:20:51] ラインとなっております。段差のない安全
[00:20:54] な道路と歩道を町民に見える形で計画的に
[00:20:59] 整備することが必要ではないかと考えます
[00:21:02] 。その取り組みこそが住いマじづり住民へ
[00:21:07] の優しい配慮につながるのではない
[00:21:09] でしょうか。また合わせて近年の地球温暖
[00:21:13] 化の影響なのか、え、新徳でも1時間
[00:21:17] あたりに、え、フル高水量が増加傾向に
[00:21:21] あります。それに対応するため道路と一体
[00:21:25] の薄い排水についても対策が必要であると
[00:21:29] 考えます。つきましては舗装歩道薄い排水
[00:21:34] の超寿命化修繕計画の策について現在の庁
[00:21:39] の考えをお聞かせいいただければと思い
[00:21:42] ます。
[00:21:46] 宮長ご登答願います。
[00:21:59] 初山議員のご質問にお答えいたします。
[00:22:02] 道路の維持管理につきましては道路法に
[00:22:05] 基づき定期的なパトロールを実施し維持
[00:22:08] 管理に務めているところであります。また
[00:22:11] 利用者の皆様から情報等を頂いた場合は
[00:22:14] 早期に現地確認を行い対応に務めており
[00:22:18] ます。道路整備につきましては改良、舗装
[00:22:22] オーバーレイ歩道回収など老朽度や緊急性
[00:22:26] により優先順位を定めて予算の範囲内で
[00:22:30] 計画的に毎年整備を行っているところです
[00:22:33] 。次に薄いマス及び薄いなど薄い排水施設
[00:22:38] につきましては令和6年度までは2年に
[00:22:41] 1度の感覚で清掃を実施しておりましたが
[00:22:44] 近年の大雨対策として令和7年度からは
[00:22:48] 毎年実施と見直しをしており水被害の軽減
[00:22:51] に務めているところであります。ご質問の
[00:22:55] 超寿命化計画につきましてはインフラの
[00:22:57] 要求化対策を進める上で大変重要なことと
[00:23:01] は思いますが一方で計画策定には多大な
[00:23:04] 時間と費を用しますので当面は現在の調査
[00:23:08] 資料をもに道路パトロール及び維持管理に
[00:23:12] 基づき個別の施設ごとの計画的な修繕更新
[00:23:16] を進めていくことが効果的であると考えて
[00:23:19] おります。
[00:23:20] 限られた財源の中で優先順位をつけながら民の皆様に分かりやすく整備計画や進捗状況の情報提供をしてまいります。以上です。
[00:23:43] 八山議員。
[00:23:46] え、ご答弁をいただきありがとうございます。
[00:23:49] え、ま、超寿命化計画はインフラの老朽化
[00:23:52] 対策の対策を進める上では大変重要なこと
[00:23:57] という認識は分かりました。え、当面は
[00:24:02] 現在の調査資料をもに今までと同じく限ら
[00:24:06] れた財源の中で優先順位をつけながらと
[00:24:09] いうお言葉での答弁はちょっと、え、私に
[00:24:13] しては先送りでしか、あ、
[00:24:17] 先送りなのではないかと感じております。
[00:24:21] それでは、え、一歩踏み込んでお聞きし
[00:24:23] たいと思いますが、現在ので持っている
[00:24:26] 調査資料とはどのようなものなのでしょう
[00:24:29] か?きっと長目線で作成していると思い
[00:24:33] ますが、内容を教えていただければなと
[00:24:36] 思います。また、市街地に住んでおられる
[00:24:39] 町民と公外に住んでおられる町民の見方は
[00:24:43] 、せ、先ほども言いました生活だったり
[00:24:46] 産業道路だったり、それぞれ見方が違うと
[00:24:49] 思います。先日開催された町長と町民との
[00:24:54] 混談会、ま、2箇所に参加をさせて
[00:24:58] いただきましたが、そこでも道路関係の
[00:25:00] 要望は出ておりました。寿命化計画を策定
[00:25:06] するには多大な時間を要するいわゆる外部
[00:25:10] 委託すると解釈をいたしますが職員が作成
[00:25:14] したアンケート調査でも十分町民の考えも
[00:25:18] 聞けるとは私もは思っております。
[00:25:22] アンケート結果を今庁が持っている資料に
[00:25:26] 加え、もっと充実させながら将来的には
[00:25:30] 超化計画策定に前向きに考えてもいいので
[00:25:33] はないでしょうか。何がネックで計画策定
[00:25:37] をしないのかできない理由だけ述べても
[00:25:40] どうしようもないのかなと私は答弁を聞い
[00:25:42] てちょっと納得いかない部分がございます
[00:25:45] 。町長は日頃から町民に何でも、え、意見
[00:25:48] を聞かせてくださいと発信しておりますの
[00:25:51] で、え、今回質問したのもですね、ま、
[00:25:55] それぞれの町民からも要望があったことを
[00:26:00] 聞いてですね、質問の再度お考えをお聞か
[00:26:05] せください。
[00:26:09] 長
[00:26:11] はい。え、まずですね、現時点で町が保有
[00:26:14] している道路関係の資料につきましてで
[00:26:16] ありますけれども、道路隊長を始め日々の
[00:26:20] パトロールや点検で得た路面状況、通行上
[00:26:23] の支障情報、そして地域や町民の皆様から
[00:26:26] 寄せられた個別のご要望や修繕履歴などを
[00:26:30] 蓄積、え、管理をしているところであり
[00:26:32] ます。ま、初山議員の方から限られた財源
[00:26:35] の中で優先順位をつけるやり方というのは
[00:26:37] 先送りではないかという風におっしゃい
[00:26:39] ましたけれども、え、かつて施設価値を
[00:26:42] 務められていた八山議員ご自身がですね、
[00:26:45] 機会において限られた予算の中で有劣を
[00:26:48] つけながら現地を確認して施工していると
[00:26:50] 予算委員会の方でもご答弁されております
[00:26:53] 。あの現場の厳しさというものを
[00:26:55] 知り尽くした当時の初山課長のご判断こそ
[00:26:58] 極めてを得たものであったと私は考えて
[00:27:01] おります。実行性のある常寿科計画の策定
[00:27:04] というものには専門的な調査委託などに
[00:27:07] 多額の費用がどうしてもかかってしまい
[00:27:09] ます。職員のアンケートだけではやはり
[00:27:11] 精密な計画ができるものではなくてですね
[00:27:14] 、また計画を作ったからといって、え、
[00:27:17] 路面の劣化というものが止まるわけでも
[00:27:19] ありませんので、え、これまでそしてです
[00:27:21] ね、これまで町民党何度も対話というもの
[00:27:24] を重ねてまいりました。そういった中で
[00:27:26] この超寿命化計画を策定して欲しいという
[00:27:29] 声は私のところには届いておりません。で
[00:27:33] 、え、ま、さの長段階の中でも出された
[00:27:36] 道路に関する要望につきましてもですね、
[00:27:39] え、例えば札幌線の案件などではすでに
[00:27:43] 職員が住民の皆様と現場立ち合いのもに
[00:27:46] 今後の方針について話し合いを進めている
[00:27:49] ところであります。ま、その他にも、え、
[00:27:51] 歩道な、歩道であったり道路に関してのご
[00:27:54] 要望をいただきましたら、すぐに対応
[00:27:56] できるものは前向きにすぐ対応するという
[00:27:59] 努力を現在の担当家というものはさせて
[00:28:02] いただいております。え、超寿命化修繕
[00:28:06] 計画なんですけれども、貴重な予算という
[00:28:08] ものがやはり実行性のある計画の策定に
[00:28:11] なるのかというところを私どもは重視し
[00:28:13] なければならないと考えております。え、
[00:28:16] 凍結誘拐の厳しい本長におきましては、
[00:28:19] やはり計画の運命に関わらずひび割れや
[00:28:22] ポットホールなどの損傷というものは毎年
[00:28:25] 必ず発生いたします。限られた財源である
[00:28:28] からこそ多額の予算というものを計画書の
[00:28:31] 作成に投じるのではなく1mでも長い舗送
[00:28:35] の打ち換えであったり安全確認というもの
[00:28:38] を大地に日々の迅速な補修や更新という
[00:28:41] ものを行うことが最も費用体効果が高く
[00:28:44] 町民目線に立った税金の使い方であると
[00:28:47] 現在は考えております。従って現段階に
[00:28:50] おいて超化計画ということを作成すると
[00:28:53] いう考えはございません。で、また町民の
[00:28:56] 皆様の声というものをより迅速かつ的確に
[00:29:00] 把握するためにですね、現在進めている
[00:29:03] 自治体DXの一環としてLINE等を活用
[00:29:06] した住民参加型の通報システムの導入と
[00:29:09] いうものを検討しております。これにより
[00:29:12] 日常で気づいた道路損傷や危険箇所不法
[00:29:16] 登記排水除雪の課題などをリアルタイムに
[00:29:19] 集約をしながら日常の維持管理で対応す
[00:29:22] べきものと路線全体として改良を更新す
[00:29:26] べきものとを効率的に見極めていくことが
[00:29:28] できるよう検討を進めているところであり
[00:29:31] ます。ま、いずれにたしましても
[00:29:34] 既存の資料と現場のパトロール、そして町民の皆様との
[00:29:37] 3
[00:29:38] つな連携というものを基礎として必要な箇所へ予算を使う実践的な維持管理に今後も努めてまいりたいと考えております。以上です。
[00:29:49] 八山議員
[00:29:51] はい。え、ご答弁ありがとうございます。
[00:29:54] ま、町民との連携はこれからも許可して、
[00:29:59] え、やっていくとまた、あ、DXを今進め
[00:30:03] てる、ある、進めている中では、ま、え、
[00:30:07] すぐLINE等で活用することも今検討し
[00:30:11] ているというお話もありますので、ええ
[00:30:16] 、ま、それについては期待をして、え、
[00:30:18] なるべく
[00:30:20] 前に進んでいければなとは思っております
[00:30:23] 。ただ、えっと、ま、多大な、ま、調査
[00:30:26] するには多大な費用ということも
[00:30:30] おっしゃられておりましたが、職員、今
[00:30:33] いる技術職員の中では十分その辺のスキル
[00:30:36] を持った人間はいると思っております。ま
[00:30:40] 、え、外部委託しなくてもですね、なんと
[00:30:42] かできるんではないかなという思いもあり
[00:30:45] まして、え、ご質問させていただきました
[00:30:48] 。ま、どちらにしてもですね、とにかく、
[00:30:51] え、町民目線を重視しながらですね、ま、
[00:30:55] 言われる前にもしできることがあればです
[00:30:59] ね、前に進めていってもらいたいなという
[00:31:01] 気持ちを込めて、え、最後の質問といたし
[00:31:05] ます。もし何かあれば、え、ご答弁
[00:31:08] よろしくお願いいたします。
[00:31:11] 町長
[00:31:14] はい。
[00:31:16] ま、この一般質問お答えさせていただくに
[00:31:19] あたって担当家とも何度もやり取りをさせ
[00:31:21] ていただいております。その中でやはり
[00:31:24] 長民あの町民の声と職員のそのアンケート
[00:31:27] だけではしっかりしたその超寿命化計画と
[00:31:30] いうものは難しいんではないかというよう
[00:31:32] な話もありました。そういった中でですね
[00:31:34] 、やはり1番最初の答弁でも申し上げまし
[00:31:37] たが、限られた財源の中で今まで通り優先
[00:31:40] 順位をつけながらですね、計画性を持って
[00:31:43] やはり町民のために、え、分かりやすく
[00:31:45] 整備をしていくということをしてまいり
[00:31:47] たいなという風に思っております。以上
[00:31:49] です。
[00:31:56] 山議員
[00:31:57] はい。え、ありがとうございました。それ
[00:31:59] では、え、2項目の方に入っていきたいと
[00:32:03] 思います。え、今後の災害発生時の対応に
[00:32:07] ついてということでご質問をさせて
[00:32:10] いただきます。新徳長では平成28年の
[00:32:14] 台風10号の大雨によって甚大な災害が
[00:32:18] 発生し、1名の尊い命が失われました。ご
[00:32:23] 名服をお祈り申し上げます。これから今年
[00:32:27] で10年が経過し、氾濫し壊れた河線や
[00:32:31] 土砂が退積した河線について関係機関の
[00:32:35] 個人により現在もサボ個人などの整備も
[00:32:39] 進められております。私自身10年が経過
[00:32:43] したことで断水した約3週間や当時の大変
[00:32:48] 閉鎖について記憶も薄れかけておりました
[00:32:51] が、え、熊本県の地震災害や千葉県、石川
[00:32:56] 県、青森県、富山など合雨災害の報道が
[00:33:01] 毎日のように放送されている様子を見ると
[00:33:04] 10年前の出来事が思い出され、再認識さ
[00:33:08] せれまさせられます。河川整備は10年前
[00:33:12] の高水量が降っても氾濫しないような規模
[00:33:16] での整備と聞いておりますが、近年の温暖
[00:33:19] 化の影響なのかどこの地域でも今まで経験
[00:33:24] したことのないような大雨が発生してい
[00:33:27] ます。北海道においても洗場交水体が発生
[00:33:31] し、新徳においても1時間交量が30mm
[00:33:36] という考量が頻繁に観測されるようになっ
[00:33:40] てきております。災害のリスクは増大して
[00:33:44] きていると考えております。
[00:33:48] 庁における過去の災害の発生を見ると昭和
[00:33:51] 56年、平成28年と約大体30年前後で
[00:33:56] 発生をしている発生をしております。災害
[00:34:01] は忘れた頃にやってくると昔から言われて
[00:34:04] います。必ずしも当たるとは思いませんが
[00:34:07] 、備えあれば売礼なしで今後についても
[00:34:11] 色々と考えておかなければならないと思っ
[00:34:14] ております。そこで1番危具していること
[00:34:18] は災害発生時の行政対応です。災害時には
[00:34:23] 行政に携わる職員の皆様が戦闘になって
[00:34:26] 行動することとなりますが、現在の新徳庁
[00:34:30] においての職員の半数以上が経験年数10
[00:34:34] 年未満の方で構成されていると伺っており
[00:34:37] ます。10年前の大きな災害を直接経験し
[00:34:42] ていない職員が多数を占める中、万が一
[00:34:46] 災害が発生した場合にはどのような行動を
[00:34:49] しなければならないなど指導教育は行って
[00:34:53] いるのでしょうか?また住民や各機関との
[00:34:58] 連携をどのように図っていくお考えなのか
[00:35:02] お聞かせいただきたいと思います。
[00:35:08] 長願います。
[00:35:21] 初山議員のご質問にお答えいたします。本長では平成
[00:35:25] 28年の台風10
[00:35:27] 号による人大なから今年でちょうど
[00:35:30] 10年という節めの年を迎えております。
[00:35:34] 災害で失われた尊い命を決して忘れること
[00:35:36] なく、当時の教訓を風化させないよう防災
[00:35:40] 減細対策に重力をしてきたところであり
[00:35:43] ます。防災対策を進めていくにあたっては
[00:35:47] 町民の事女、近隣住民や関係機関との教助
[00:35:51] 、行政機関による控除のそれぞれが
[00:35:54] バランスよく力をつけていくことが大変
[00:35:56] 重要であると考えております。ご質問の1
[00:36:00] 点目。職員の指導教育でありますが、この
[00:36:03] 間平成29年度に地震想定の基上訓練、令
[00:36:08] 和元年度に災害発生時の職員初動
