# 編集はこのCSVで行う。public/data/gikai_links.json はビルド生成物（git管理外）。
# 生成コマンド: npm run build:links
# フォーマット: caseType,eraLabel,num,ref   ← 4列（v2: eraLabel 追加で年度衝突を防ぐ）
#   caseType ... 議案 or 意見案
#   eraLabel ... 例: 令和7年  ← giketsu_index.json の eraLabel と完全一致
#   num      ... 正の整数
#   ref      ... theme:<priorityId> または issue:<issueId>
# 行頭 # はコメント、空行は無視される。
caseType,eraLabel,num,ref
意見案,令和3年,8,theme:finance
議案,令和3年,10,theme:health
議案,令和3年,11,theme:health
議案,令和3年,12,theme:community
議案,令和3年,12,theme:health
意見案,令和3年,13,theme:finance
議案,令和3年,13,theme:health
議案,令和3年,18,theme:community
議案,令和3年,21,theme:health
議案,令和3年,22,theme:health
議案,令和3年,23,theme:finance
議案,令和3年,24,theme:finance
議案,令和3年,25,theme:finance
議案,令和3年,26,theme:health
議案,令和3年,41,theme:community
議案,令和3年,41,theme:health
議案,令和3年,43,theme:finance
議案,令和3年,49,theme:finance
議案,令和3年,51,theme:community
議案,令和3年,52,theme:finance
議案,令和3年,61,theme:agriculture
議案,令和3年,65,theme:finance
議案,令和3年,66,theme:health
議案,令和3年,67,theme:health
議案,令和4年,1,theme:finance
意見案,令和4年,1,theme:finance
議案,令和4年,2,theme:finance
意見案,令和4年,4,theme:finance
議案,令和4年,5,theme:finance
議案,令和4年,6,theme:community
意見案,令和4年,6,theme:finance
意見案,令和4年,8,theme:health
議案,令和4年,9,theme:finance
議案,令和4年,16,theme:health
議案,令和4年,17,theme:health
議案,令和4年,20,theme:finance
議案,令和4年,21,theme:finance
議案,令和4年,32,theme:community
議案,令和4年,39,theme:community
議案,令和4年,47,theme:finance
議案,令和4年,52,theme:finance
議案,令和4年,53,theme:finance
議案,令和4年,54,theme:finance
議案,令和4年,55,theme:agriculture
議案,令和4年,62,theme:finance
議案,令和4年,66,theme:finance
意見案,令和5年,1,theme:finance
議案,令和5年,8,theme:finance
議案,令和5年,9,theme:finance
意見案,令和5年,10,theme:finance
意見案,令和5年,11,theme:finance
議案,令和5年,24,theme:finance
議案,令和5年,25,theme:finance
議案,令和5年,34,theme:health
議案,令和5年,47,theme:agriculture
議案,令和5年,51,theme:finance
議案,令和5年,52,theme:finance
議案,令和5年,57,theme:finance
議案,令和5年,62,theme:finance
議案,令和5年,63,theme:finance
議案,令和5年,67,theme:community
議案,令和5年,76,theme:finance
意見案,令和6年,3,theme:community
意見案,令和6年,3,theme:health
議案,令和6年,11,theme:health
議案,令和6年,12,theme:finance
意見案,令和6年,12,theme:health
議案,令和6年,21,theme:health
議案,令和6年,24,theme:health
議案,令和6年,25,theme:health
議案,令和6年,28,theme:finance
議案,令和6年,29,theme:finance
議案,令和6年,30,theme:finance
議案,令和6年,31,theme:finance
議案,令和6年,32,theme:finance
議案,令和6年,37,theme:health
議案,令和6年,54,theme:community
議案,令和6年,56,theme:finance
議案,令和6年,57,theme:finance
議案,令和6年,61,theme:finance
議案,令和6年,65,theme:health
議案,令和6年,67,theme:finance
議案,令和6年,71,theme:finance
議案,令和6年,72,theme:finance
議案,令和6年,76,theme:finance
議案,令和6年,80,theme:finance
議案,令和7年,1,theme:finance
議案,令和7年,2,theme:community
議案,令和7年,9,theme:finance
議案,令和7年,10,theme:finance
意見案,令和7年,10,theme:finance
議案,令和7年,11,theme:finance
議案,令和7年,13,theme:community
議案,令和7年,15,theme:community
議案,令和7年,16,theme:community
議案,令和7年,21,theme:health
議案,令和7年,22,theme:health
議案,令和7年,28,theme:finance
議案,令和7年,29,theme:finance
議案,令和7年,30,theme:finance
議案,令和7年,31,theme:finance
議案,令和7年,36,theme:health
議案,令和7年,37,theme:health
議案,令和7年,53,theme:finance
議案,令和7年,54,theme:finance
議案,令和7年,55,theme:finance
議案,令和7年,56,theme:finance
議案,令和7年,57,theme:finance
議案,令和7年,63,theme:finance
議案,令和7年,74,theme:finance
議案,令和7年,75,theme:finance
議案,令和7年,77,theme:health
議案,令和7年,82,theme:finance
議案,令和7年,83,theme:finance
議案,令和7年,84,theme:finance
議案,令和7年,88,theme:finance
議案,令和7年,89,theme:finance
議案,令和7年,92,theme:finance
議案,令和8年,2,theme:finance
