# 自動提案ファイル（毎回上書き生成）
# 内容を確認して npm run merge:links で data/gikai_links.csv に取り込んでください。
# score と matched はコメント参考値（CSV 取り込み時は無視されます）
caseType,eraLabel,num,ref
議案,令和2年,19,theme:health  # score:1 matched:[介護]
議案,令和2年,21,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,23,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,26,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,27,theme:health  # score:1 matched:[医療]
議案,令和2年,29,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,37,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,50,theme:health  # score:1 matched:[介護]
議案,令和2年,51,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,54,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,55,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,62,theme:tourism  # score:1 matched:[温泉]
議案,令和2年,63,theme:community  # score:1 matched:[消防]
議案,令和2年,64,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,72,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,74,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,76,theme:finance  # score:2 matched:[予算/補正]
意見案,令和3年,1,theme:finance  # score:2 matched:[予算/補正]
意見案,令和3年,2,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,5,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,6,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,7,theme:health  # score:1 matched:[介護]
議案,令和3年,8,theme:finance  # score:2 matched:[予算/補正]
意見案,令和3年,8,theme:finance  # score:2 matched:[財政/税]
議案,令和3年,10,theme:health  # score:1 matched:[医療]
議案,令和3年,11,theme:health  # score:1 matched:[介護]
議案,令和3年,12,theme:community  # score:1 matched:[地域]
議案,令和3年,12,theme:health  # score:1 matched:[介護]
意見案,令和3年,13,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,13,theme:health  # score:1 matched:[介護]
議案,令和3年,18,theme:community  # score:1 matched:[地域]
議案,令和3年,21,theme:health  # score:1 matched:[介護]
議案,令和3年,22,theme:health  # score:1 matched:[介護]
議案,令和3年,23,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,24,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,25,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,26,theme:health  # score:2 matched:[介護/医療]
議案,令和3年,41,theme:community  # score:1 matched:[地域]
議案,令和3年,41,theme:health  # score:1 matched:[医療]
議案,令和3年,43,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,49,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,51,theme:community  # score:1 matched:[地域]
議案,令和3年,52,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,61,theme:agriculture  # score:2 matched:[農/農業]
議案,令和3年,65,theme:finance  # score:2 matched:[予算/補正]
議案,令和3年,66,theme:health  # score:1 matched:[介護]
議案,令和3年,67,theme:health  # score:1 matched:[医療]
議案,令和4年,1,theme:finance  # score:2 matched:[予算/補正]
意見案,令和4年,1,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,2,theme:finance  # score:2 matched:[予算/補正]
意見案,令和4年,4,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,5,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,6,theme:community  # score:1 matched:[消防]
意見案,令和4年,6,theme:finance  # score:2 matched:[予算/補正]
意見案,令和4年,8,theme:health  # score:1 matched:[介護]
議案,令和4年,9,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,16,theme:health  # score:1 matched:[介護]
議案,令和4年,17,theme:health  # score:1 matched:[医療]
議案,令和4年,20,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,21,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,32,theme:community  # score:1 matched:[消防]
議案,令和4年,39,theme:community  # score:1 matched:[地域]
議案,令和4年,47,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,52,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,53,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,54,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,55,theme:agriculture  # score:2 matched:[農/農業]
議案,令和4年,62,theme:finance  # score:2 matched:[予算/補正]
議案,令和4年,66,theme:finance  # score:2 matched:[予算/補正]
意見案,令和5年,1,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,8,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,9,theme:finance  # score:2 matched:[予算/補正]
意見案,令和5年,10,theme:finance  # score:2 matched:[予算/補正]
意見案,令和5年,11,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,24,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,25,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,34,theme:health  # score:1 matched:[保育]
議案,令和5年,47,theme:agriculture  # score:2 matched:[農/農業]
議案,令和5年,51,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,52,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,57,theme:finance  # score:3 matched:[決算/歳入/歳出]
議案,令和5年,62,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,63,theme:finance  # score:2 matched:[予算/補正]
議案,令和5年,67,theme:community  # score:1 matched:[地域]
議案,令和5年,76,theme:finance  # score:2 matched:[予算/補正]
意見案,令和6年,3,theme:community  # score:1 matched:[地域]
意見案,令和6年,3,theme:health  # score:1 matched:[医療]
議案,令和6年,11,theme:health  # score:1 matched:[介護]
議案,令和6年,12,theme:finance  # score:2 matched:[予算/補正]
意見案,令和6年,12,theme:health  # score:1 matched:[介護]
議案,令和6年,21,theme:health  # score:1 matched:[介護]
議案,令和6年,24,theme:health  # score:1 matched:[医療]
議案,令和6年,25,theme:health  # score:1 matched:[介護]
議案,令和6年,28,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,29,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,30,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,31,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,32,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,37,theme:health  # score:1 matched:[保育]
議案,令和6年,54,theme:community  # score:1 matched:[地域]
議案,令和6年,56,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,57,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,61,theme:finance  # score:3 matched:[決算/歳入/歳出]
議案,令和6年,65,theme:health  # score:1 matched:[医療]
議案,令和6年,67,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,71,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,72,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,76,theme:finance  # score:2 matched:[予算/補正]
議案,令和6年,80,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,1,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,2,theme:community  # score:1 matched:[定住]
議案,令和7年,9,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,10,theme:finance  # score:2 matched:[予算/補正]
意見案,令和7年,10,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,11,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,13,theme:community  # score:1 matched:[地域]
議案,令和7年,15,theme:community  # score:1 matched:[地域]
議案,令和7年,16,theme:community  # score:1 matched:[地域]
議案,令和7年,21,theme:health  # score:1 matched:[医療]
議案,令和7年,22,theme:health  # score:1 matched:[介護]
議案,令和7年,28,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,29,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,30,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,31,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,36,theme:health  # score:2 matched:[保育/教育]
議案,令和7年,37,theme:health  # score:1 matched:[保育]
議案,令和7年,53,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,54,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,55,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,56,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,57,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,63,theme:finance  # score:3 matched:[決算/歳入/歳出]
議案,令和7年,74,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,75,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,77,theme:health  # score:1 matched:[福祉]
議案,令和7年,82,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,83,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,84,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,88,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,89,theme:finance  # score:2 matched:[予算/補正]
議案,令和7年,92,theme:finance  # score:2 matched:[予算/補正]
議案,令和8年,2,theme:finance  # score:2 matched:[予算/補正]
