# source: https://www.youtube.com/watch?v=fzEjguY0KsM
# video_id: fzEjguY0KsM
# fetched: 2026-09-23T11:41:09.836Z
# segments: 410

[00:01:09] 終を行います。
[00:08:15] 変更後11億753万9150円
[00:08:20] となり変更額は1億2663万9150円
[00:08:27] の増額となってございます。
[00:08:34] 3契約の後期変更前令和8年9月14日
[00:08:39] 完成のところ変更後令和8年12月15日
[00:08:43] 完成となり後期は90日の延長となって
[00:08:48] ございます。
[00:08:50] 4契約の空方といたしまして萩原、上村、
[00:08:54] 古川、田村特定建設工事共同企業隊代表者
[00:09:01] 帯ひ東7条南8丁目2番地萩原建設工業
[00:09:06] 株式会社
[00:09:08] 代表取締り役社長萩原和
[00:09:12] 厚生委といたしまして新徳長2条南1丁目
[00:09:16] 1番地上村土株式会社代表取締り役者長
[00:09:22] 上村竹
[00:09:25] 同じく新徳長西一条南1丁目51番地に
[00:09:30] 古川建設株式会社被害者代表取締り役古川
[00:09:35] 正部
[00:09:36] 同じく新徳長西一条南5丁目1番地田
[00:09:43] 田村工業代表取締り役田村浩司でござい
[00:09:47] ます。
[00:09:49] 以上で説明を終わりますが、ご審議のほどよろしくお願い申し上げます。質疑に入ります。質疑ありましたら発言を許します。
[00:10:18] 4番桜田子議員。
[00:10:21] はい。えっと、自分からはちょっと後期に
[00:10:23] ついてちょっとご質問させていただきたい
[00:10:25] なと思いまして、えっと、後期の方が、ま
[00:10:28] 、約3ヶ月間の延長ということになったん
[00:10:31] ですけど、当初、えっと、中東情勢の断熱
[00:10:34] 剤がなかなか入ってこないっていう理由
[00:10:37] だったかと思うんですけど、えっと、ま、
[00:10:40] 徐々にホームセンターとかでも最初
[00:10:42] スタイルフォームとかが全部なくなって、
[00:10:44] ま、ナフタ不足大変だなと思ってたんです
[00:10:47] けど、ま、徐々にそれも解消されてきて、
[00:10:49] だいぶ断熱剤とかもあの、ホームセンター
[00:10:51] とかにも普通に置かれるようになってきた
[00:10:53] んですけど、これっていうのはあの資材が
[00:10:56] 入ってきた段階で、えっと、石膏がこう
[00:10:59] 続いていくと例えば完成が早まったりとか
[00:11:03] そういうのはあるんでしょうか?
[00:11:12] 地域戦略室
[00:11:16] 福祉長。あ、さ、はい。すいません。
[00:11:21] え、桜田議員の、え、ご質問にお答え
[00:11:24] いたします。はい。えっとですね、こちら
[00:11:27] の資材の方、え、この後、え、順調に入っ
[00:11:30] てくるということになりましたら、ま、え
[00:11:32] 、今おっしゃっていただいたように、え、
[00:11:34] 後期の方、え、さらに短縮するという可能
[00:11:36] 性は、え、あるのかなという風に考えて
[00:11:38] おります。ただ現時点でですね、え、業者
[00:11:41] の方から、え、資材の方が入ってくるよう
[00:11:43] になったといった部分等の、え、情報の方
[00:11:46] はまだ入っていないという状況ですので、
[00:11:48] え、今後の状況と、え、考みまして、柔軟
[00:11:51] に対応の方していきたいと考えております
[00:11:53] 。以上です。
[00:11:57] 次に、え、
[00:11:59] 3番森本洋子議員。
[00:12:02] はい。えっと、変更工事概要という、え、
[00:12:06] 3ページに書いてあるところなんです
[00:12:08] けれども、え、規波40の車両の、え、を
[00:12:13] 、ま、起されたということを今知ったん
[00:12:15] ですけれども、えっと、ここにあの窓車体
[00:12:19] 壁及び車掌扉の運搬っていう風になってる
[00:12:23] んですが、あの、列車って結構アスベスト
[00:12:26] が入ってる場合があったりとかってあるん
[00:12:28] ですが、その辺を、え、ちゃんと確認をさ
[00:12:31] れてるのかどうかっていうことが1つと
[00:12:34] おそらくこれは、え、バラバラにした部品
[00:12:37] を使う。そのホテルの中の部品に使うと
[00:12:39] いうことだと思うんですが、以前あのこの
[00:12:42] ホテルは鉄道をコンセプトにするっていう
[00:12:45] ような形のデザインということで始まった
[00:12:48] と思うんですけれども、やはりこういった
[00:12:50] 部品を使った鉄道ということでのあのまえ
[00:12:54] 、サイン、え、衣装サということでやっ
[00:12:56] てく部品なのかなって思ってはいるんです
[00:13:00] が、その辺の、え、アスベストとかそう
[00:13:02] いうところの確認をまず、え、ちゃんとさ
[00:13:04] れてるのか、その辺をもう1回確認をし
[00:13:07] たいと思います。そして、え、そのお部屋
[00:13:10] の方はですからそういったことで、えっと
[00:13:13] 、なんて言うのか、少しあの、確か予算を
[00:13:16] 減らしてたと思うんですね。一生、え、
[00:13:19] サインを見直しするということで、前回の
[00:13:21] 説明の中で1400万ぐらいだったかな、
[00:13:24] ちょっと安くされてたのかなと思うんです
[00:13:26] けど、この起されたということでそちらを
[00:13:29] 当てるということになっているんでしょう
[00:13:30] かね。その辺をちょっと確認をしたいん
[00:13:32] ですけど。
[00:13:43] 今後地域戦略出長佐、
[00:13:47] え、森本議員のご質問にお答えいたします。え、まず、あの起造されたものへのアスベストという部分の、え、ご懸念の方なんですけども、え、こちらの方、え、問題で確認しております。
[00:13:59] で、え、それとあと、ま、衣装の見直しについてなんですけども、こちらについては、あの、この造があったからというわけではなく、ま、あの、全体の、え、事業費の方の部分と考みまして、え、ま、削減できる部分を削減したという形で今回見厳しているものになります。以上です。次に
[00:14:20] 8番若崎正議員。
[00:14:23] はい。え、
[00:14:25] 1点だけご質問伺います。
[00:14:29] え、公共事業がですね、こういう形で延期
[00:14:32] になるってことは本当全代見問で、ま、
[00:14:35] これだけ世界情勢大変なことになってると
[00:14:38] これ私も思っておりますけども、あの
[00:14:42] 、私が今質問したいのはですね、この物価
[00:14:44] 上昇じゃなくてこの
[00:14:47] 変更工事にですね、
[00:14:50] え、17条による変更、この点、あの、
[00:14:53] 周辺自盤の不安定によるや放落益[鼻息]
[00:14:58] 点灯を防止するための追加工事なんです
[00:15:03] けども、これですね、以前あの議員協議会
[00:15:06] でルール説明はなされました。そんな形で
[00:15:10] ですね、え、いろんな共同性やなんか、え
[00:15:14] 、設計段階で
[00:15:18] この施工面積から言えば大体せ、あの設計
[00:15:23] 段階で大体分かるかなと私は認識してまし
[00:15:26] た。今の時点でこういうことが
[00:15:34] 延長、延長ちゅうか追加行にな
[00:15:36] るちゅうことはちょっとおかしいんじゃ
[00:15:38] ないかなて。確か協議会で傭壁の話は出
[00:15:43] ましたよね。そんな形で
[00:15:46] 今更ですがちゅうこういう出し方っていう
[00:15:48] のはちょっと考えられないんですけども
[00:15:50] その辺の確かな説明を願いたいんですけど
[00:16:03] 課長
[00:16:07] はいお答えいたします。え、当初設計時
[00:16:11] から、え、色々、え、考慮いたしまして、
[00:16:14] え、各種、え、想定
[00:16:18] して、え、設計はに望んではおります。え
[00:16:22] 、今回ですね、え、実際現場入ってみて、
[00:16:27] え、色々と、ま、教彰作業もあり、ま、
[00:16:30] ありましたし、え、駐車場との駅、北広、
[00:16:34] あの、え、駐車場との金合いもありまして
[00:16:37] 、え、また機械の大きさ、そう、あの、
[00:16:40] 現場であの、対応できないところも、え、
[00:16:43] 設計時から、え、現場で対応できない
[00:16:46] ところも、え、各くありましたので、その
[00:16:48] 点を、え、今回設計変更しております。え
[00:16:54] 、こういう、え、議員ご指摘の通り、え、
[00:16:57] 後出しのような格好にはなっておりますが
[00:17:01] 、ま、あの、今後においてですね、もっと
[00:17:05] あの制度のある、ま、設計を、ま、目指し
[00:17:08] て、え、取り組んでまいりたいと思います
[00:17:10] が、え、今回はちょっとあの強な、え、
[00:17:13] 駅前の場所とですね、実際現盤入ってから
[00:17:16] のあの分かってくるところが、え、あり
[00:17:20] ましたので、え、そこのところを、え、
[00:17:23] 変更しおります。
[00:17:28] 若崎正議員
[00:17:31] はい、ありがとうございます。あの、施工面積から言いますと、あの、多分最低限
[00:17:42] 1
[00:17:42] 番調査のから始まると思うんです。で、この面積から言えば私はありえないかなと思ってんですよ。
[00:17:49] ま、ありえないからあり得ることになっ
[00:17:51] ちゃったんですけども、今後こういうこと
[00:17:54] をあの、公共事業であるってことは
[00:17:56] ちょっとまずいのかなと思いますので、
[00:17:58] そのための設計なんですから、自盤調査は
[00:18:03] 最低限
[00:18:05] や、あの、やってはいると思うんですけど
[00:18:07] 、その辺をね、確かな数字で出してもらっ
[00:18:09] た数字で施行してもらわなかったら
[00:18:14] ダメなのかなと思いますので、今後とも
[00:18:16] そういう施工のルールに従ってですね
[00:18:18] で、あの、信頼ある工業施設になりますように期待してますのでよろしくお願いいたします。施設長
[00:18:32] はい。お答えいたします。え、自盤調査とは、え、行って、え、いるところですが、やはりあの、その点からちょっと離れたりしてちょっと変わってるとこも、え、出てくるのも、あの、実であります。
[00:18:46] え、今後においてはですね、え、そういう
[00:18:49] 、え、ご指摘も受けてですね、あの、設計
[00:18:51] 時に、え、も、もう少し詳細に、え、詰め
[00:18:55] てですね、え、このような、え、事象が、
[00:18:58] え、起きないように努力いたしたいと思い
[00:19:00] ます。以上です。他に
[00:19:07] これを持って質疑を集結いたします。
[00:19:10] 本件について討論はありませんか?
[00:19:20] 討論はないようですんで、これから議案第
[00:19:23] 61
[00:19:23] 号を採決いたします。本件は県案の通りすることに賛成
[00:19:28] 議員の挙を求めます。挙種全員であります。案第
[00:19:36] 61号は案の通り可決ました。
[00:19:40] 日程第4議案第62
[00:19:42] 号受契約の変更についてお議題といたします。提案者から提案の説明を求めます。福原長。
[00:19:52] はい。
[00:20:04] 議案第62号工事受け契約の変更について
[00:20:09] ご説明申し上げます。2ページをごご覧
[00:20:13] ます。提案理由でありますが、賃金物価
[00:20:17] 水準の上昇によるインフレスライド上の
[00:20:21] 適用及び後期の延長により契約を変更
[00:20:25] しようとするものであります。
[00:20:28] 変更工事概要につきましては3ページを
[00:20:30] ご覧ます。
[00:20:34] え、1ページに戻っていただき、1契約の
[00:20:37] 目的駅前周辺再整備音欲宿泊施設工事電気
[00:20:44] 設備でございます。2契約の金額変更前
[00:20:50] 2億9480万円
[00:20:53] 変更後3億254
[00:20:56] 万4000円となり、変更額は
[00:21:00] 774万4000円
[00:21:02] の増額となってございます。
[00:21:05] 3契約の後期変更前令和8年9月14日
[00:21:11] 完成のところ変更後令和8年12月15日
[00:21:14] 完成となり後期は90日の延長となって
[00:21:18] ございます。
[00:21:20] 4契約の相手方といたしまして川岸
[00:21:25] 兼田特定建設工事共同企業
[00:21:30] 代表者帯広市西二条南38丁目4番14号
[00:21:36] 川岸伝説株式会社代表取締り役賢介
[00:21:42] 厚成員といたしまして新徳長4条南1丁目
[00:21:46] 5番地有限会社牧電
[00:21:50] 代表取締り役正光。同じく新徳長くったり
[00:21:57] 緑町3丁目3番地有言会社金田電者
[00:22:02] 代表取締り役金田誠でございます。以上で
[00:22:07] 説明を終わりますがご審議のほどよろしく
[00:22:10] お願い申し上げます。
[00:22:26] これから質疑に入ります。質疑ありまし
[00:22:29] たら発言を許します。
[00:22:33] これを持って質疑を集結いたします。本件
[00:22:36] について討論はありませんか?
[00:22:40] 討論はないようですんで、これから議案第
[00:22:44] 62号を採決いたします。本件は原案の
[00:22:48] 取り決することに賛成議員の挙を求めます
[00:22:51] 。
[00:22:53] 挙州全員でありますよって議案第62号は
[00:22:58] 案の通り可決されました。可決いたしまし
[00:23:01] た。
[00:23:03] 議案あ、失礼日程第5議案第63号公住
[00:23:09] 契約の変更について議題といたします。
[00:23:13] 提案者から提案理由の説明を求めます。
[00:23:16] 福原務課長
[00:23:17] はい。
[00:23:31] 議案第63
[00:23:32] 号工事受追い契約の変更についてご説明申し上げます。
[00:23:38] 2ページをご覧願います。
[00:23:43] 提案、提案理由でありますが、後期の延長
[00:23:46] により契約を変更しようとするものであり
[00:23:49] ます。変更工事概要につきましては3
[00:23:52] ページをご覧ます。1ページに戻って
[00:23:56] いただき、
[00:23:59] 1契約の目的駅前周辺整備音欲宿泊施設
[00:24:04] 建設工事機械設備でございます。2契約の
[00:24:09] 金額変更前5億1260万円
[00:24:14] 変更後5億1916万7000円
[00:24:18] となり変更額は656万7000円
[00:24:22] の増額となってございます。
[00:24:26] 3契約の後期変更前令和8年9月14日
[00:24:31] 完成のところ変更後令和8年12月15日
[00:24:35] 完成となりは90日の延長となってござい
[00:24:39] ます。
[00:24:41] 4契約の相手方といたしまして富士環境
[00:24:45] 兼田特定建設工事共同企業隊代表者帯広
[00:24:52] 西二条北一丁目6番7号富士暖房工業
[00:24:56] 株式会社
[00:24:58] 代表取締り役社長滋賀正典
[00:25:02] 構成員といたしまして新徳庁新徳東一線
[00:25:07] 32番地8株式会社環境代表取締り役根本
[00:25:13] 健士
[00:25:15] 同じく新徳長くったり緑町3丁目3番
[00:25:19] 地言会社
[00:25:21] 伝業者代表取締り役金田誠でございます。
[00:25:28] 以上で説明をありますがご審議のほど
[00:25:31] よろしくお願い申し上げます。
[00:25:49] これから質疑に入ります。質疑ありまし
[00:25:51] たら発言を許します。
[00:25:55] これを持って質疑を集結いたします。本件
[00:25:58] について討論はありませんか?
[00:26:03] 討論はないようですんで、これから議案第
[00:26:06] 63号を採決いたします。本件は原案の
[00:26:10] 通り決することに賛成議員の挙を求めます
[00:26:13] 。
[00:26:16] 挙州全員でありますよって議案第63号は
[00:26:21] 案の通り可決いたしました。
[00:26:25] 日程第6議案第64号令和8年度新得長
[00:26:32] 一般会計補正予算について議題といたし
[00:26:35] ます。提案者から提案理由の説明を求め
[00:26:39] ます。渡副長議案第
[00:26:53] 64号令和8年度新得庁一般会計補正
[00:26:57] 予算第4号につきましてご説明申し上げ
[00:27:00] ます。
[00:27:02] 第1条歳入歳出予算の総額に歳入歳出
[00:27:06] それぞれ861万9000円
[00:27:10] を追加し、歳入歳出予算の総額を歳入歳出
[00:27:14] それぞれ92億1789万1000円
[00:27:19] とするものでございます。8ページ再出を
[00:27:23] お開き願います。
[00:27:26] [咳払い]
[00:27:29] 2間総務費物価高等対策支援事業費の18
[00:27:35] 節負担金補助及び交付金では物価高等対策
[00:27:40] 事業として本年6月から実施しております
[00:27:44] 6ヶ月分の水道料金免除事業を2ヶ月分
[00:27:49] 延長し令和9年1月までの水道基本量を
[00:27:55] 免除するための免除相当文を水道事業会計
[00:28:00] の補助金として計上しております。6
[00:28:04] ページに戻りまして再入をご覧ください。
[00:28:10] 15巻国支出金総務費補助金では今回の
[00:28:15] 補正の財源として国の補正予算の成立に
[00:28:19] 伴い交付される物価高等対応重点支援地方
[00:28:25] 創生臨時交付金を計上しております。7
[00:28:28] ページに移りまして、19巻繰金では今回
[00:28:32] の補正の財源調整のため、財政調整
[00:28:36] 基金繰例金を増額しております。以上で
[00:28:39] 説明を終わりますがよろしくご自います。
[00:28:54] これから質疑に入ります。質疑がありまし
[00:28:56] たら発言を許します。
[00:29:01] これを持って質疑を集結いたします。本件
[00:29:04] について討論はありませんか?
[00:29:08] 討論はないよ、ないようですので、これ
[00:29:11] から議案第64号を採決いたします。本件
[00:29:15] は原案の通り決することに賛成議員の挙を
[00:29:18] 求めます。
[00:29:22] 挙州でありますよって議案第64号は案の
[00:29:26] 通り可決されました。
[00:29:30] これによって本会議に不議された案件の
[00:29:33] 審議は全て終了いたしました。よって令和
[00:29:37] 8年臨時
[00:29:39] 第3回議会
[00:29:41] を閉いいたします。終令を行います。
[00:29:45] ご苦労様でした。
