# source: https://www.youtube.com/watch?v=v_P63bUm0ls
# video_id: v_P63bUm0ls
# fetched: 2026-07-10T09:14:45.147Z
# segments: 916

[00:01:00] 終を行います。
[00:07:03] 火山警戒レベル1ではありますが自然災害
[00:07:06] の意識を新たにし関係機関としっかりと
[00:07:10] 連携してまいりたいと思います。最後に
[00:07:13] 記載はございませんが駅前音欲宿泊施設の
[00:07:16] 工事の進捗についてご報告いたします。
[00:07:20] すでに新聞報道などでご承知の方も多いと
[00:07:23] 思いますが、重東勢や悪化の影響を受け
[00:07:26] まして、駅前音欲宿泊施設の建設が大幅に
[00:07:30] 遅れております。本施設は本年12月開業
[00:07:34] を目指しておりましたが、工事の遅れに
[00:07:36] 伴い海業は来年4月以降にずれ込む見込み
[00:07:41] であります。また駅前複合施設得の横に
[00:07:45] 増設予定でありました帯広進徳視点様に
[00:07:49] つきましてはごぞ町民の利弁性などを再度
[00:07:52] 考慮し一旦拍死とすることでご了承
[00:07:56] いただいているところであります。新たな
[00:07:58] 視点の場所などにつきましては今後も先法
[00:08:01] と連携を3つにしながらより良い形に
[00:08:04] できるよう努力してまいります。なお、
[00:08:08] 宿泊浴施設開会業延期に伴いまして、既存
[00:08:11] の上映浴の営業を延長し、切れ目のない
[00:08:16] ように、また町民の皆様にご迷惑おかけし
[00:08:19] ないよう努めてまいります。以上で行政
[00:08:23] 報告といたします。
[00:08:36] 日程第3
[00:08:39] 報告第1号事法第180条第1項の規定に
[00:08:45] 基づき長議会の休により指定した事項の
[00:08:50] 先結処分の報告がありましたのでお手元に
[00:08:53] してありますがこの報告に対しはござい
[00:08:57] ませんか?
[00:09:00] 質疑はないようですんでこの報告第1号に
[00:09:03] ついては質疑を集結いたします。
[00:09:09] 日程第4報告第2号長事法施工例第145
[00:09:15] 条第2項の規定に基づき令和7年度新徳長
[00:09:20] 一般会計継続費にかかる継続年度終了に
[00:09:25] よる生産の報告がありましたがお手元に
[00:09:28] 配布した通りであります。この報告に対し
[00:09:32] はございませんか?
[00:09:35] 質疑がないようですんで、この報告第2号
[00:09:39] に、第2号につきましては質疑を集結
[00:09:42] いたします。
[00:09:44] 日程第5報告第3号地方事法施例第145
[00:09:50] 条第1項の規定に基づき、令和7年度
[00:09:55] 新徳長一般会計継続費にかかる繰り越し
[00:10:00] 計算書の報告がありましたので
[00:10:04] お手元に配布した通りでありますの通りで
[00:10:07] あります。
[00:10:07] このに対し質疑はございませんか?
[00:10:13] 質疑はないようですんで、この報告第
[00:10:15] 3
[00:10:16] 号につきましては質疑を集結いたします。
[00:10:21] 日程第6報告第4号次法施工例第146条
[00:10:28] 第2項の規定に基づき令和7年度新徳長
[00:10:33] 一般会計繰り越し免許費にかかる繰り越し
[00:10:37] 計算書の報告がありましたがお手元に配布
[00:10:40] した通りであります。この報告に対して
[00:10:43] 質疑はございませんか?
[00:10:47] 質疑はないようですんで、この報告第4号
[00:10:50] につきましては質疑を集結いたします。
[00:10:55] 日程第7議案第34号農業委員会委員の
[00:11:03] 任命同員について議題といたします。
[00:11:06] 地方事法第117条の規定によって村田浩
[00:11:12] 議員の退場を求めます。ここで残いたし
[00:11:15] ます。
[00:11:18] [咳払い]
[00:11:38] 提案者から提案流の休憩
[00:11:40] はい。
[00:11:41] あ、休憩失礼しました。休憩再開いたします。提案者から提案の説明を求めます。は中副長ご登壇願います。
[00:12:03] 議案第34号農業委員会委員の任命同意に
[00:12:08] ついてご説明申し上げます。農業委員会等
[00:12:11] に関する法律第8条第1項の規定に基づき
[00:12:16] 農業委員会委員として新徳長くったり東
[00:12:20] 一戦49番地18の村田順一氏を任命
[00:12:25] いたし
[00:12:29] ます。村田市は昭和49年1月生まれの
[00:12:33] 52歳であります。平成29年7月20日
[00:12:38] から委員を務められており、本年7月19
[00:12:42] 日が人気満了となりますが、農知行政に
[00:12:46] 出権を有しており、農業委員として的任と
[00:12:50] 存じますので、選任いたし、議会のご同意
[00:12:54] を賜りますようお願い申し上げます。なお
[00:12:57] 村田市の経歴等につきましては12ページ
[00:13:00] をご覧いただきたいと思います。以上で
[00:13:03] 説明終わりますがよろしくお願いいたし
[00:13:05] ます。
[00:13:17] 説明が終わりました。本件は人事案件に
[00:13:20] つき質疑討論を省略いたします。これより
[00:13:24] 議案第34号農業委員会委員の任命同意に
[00:13:29] ついてを採決いたします。お諮かりいたし
[00:13:32] ます。
[00:13:33] 本件は原案の通り同意することにご異議ござれませんか?
[00:13:39] 異議なしと認めます。よって議案第
[00:13:43] 34
[00:13:43] 号は原案の通り同意することに決しました。ここで村田浩議員の入場を求めます。残事休憩いたします。
[00:14:18] 休憩を解き再開いたします。
[00:14:21] これより議案第35号から議案第
[00:14:25] 44
[00:14:26] 号までの農業委員会委員の任命同員についてを一括して議題といたします。これにご異ございませんか?
[00:14:36] 義なしと認めます。よって議案第
[00:14:39] 35号から議案第44
[00:14:42] 号まで一括して指定議題とすることに消しました。
[00:14:46] ただ今から一括議題とした案件について提案者から提案流の説明を求めます。
[00:14:53] 庁長
[00:15:06] 議案第35号から議案第454
[00:15:11] 号までの農業委員会委員の任命同意につき
[00:15:14] まして農業委員会等に関する法律第8条第
[00:15:19] 1項の規定に基づき議会の同意を求める
[00:15:23] ものでございます。それでは議案第35号
[00:15:28] から議案第44号まで一括して説明の上ご
[00:15:33] 提案を申し上げます。
[00:15:36] 議案第35号では農業委員会委員に新徳庁
[00:15:41] 麻さ719番地6の下浦正光を任命いたし
[00:15:49] たく提案をさせていただくものであります
[00:15:52] 。下村市は昭和43年7月生まれの57歳
[00:15:57] でございます。続きまして議案第36号
[00:16:02] 農業委員会委員に新得長2条南5丁目24
[00:16:07] 番1の松浦司さを任命いたしたく提案をさ
[00:16:12] せていただくものであります。松浦市は
[00:16:15] 昭和57年3月までの44歳でございます
[00:16:20] 。続きまして議案第37号では新徳庁農業
[00:16:26] 委員会委員に新徳長123番市22の
[00:16:33] お井川義見氏を任命いたしたく提案をさせ
[00:16:37] ていただくものであります。追川市は昭和
[00:16:41] 29年3月生まれの72歳でございます。
[00:16:45] 続きまして議案第38号では農業委員会
[00:16:49] 委員に新徳庁新徳24番の板垣克勝彦を
[00:16:56] 任命いたしたく提案をさせていただくもの
[00:16:59] であります。
[00:17:01] 騎種は
[00:17:03] 昭和52年12月生まれの48歳でござい
[00:17:07] ます。続きまして議案第39号では農業
[00:17:12] 委員会委員に新徳長新徳選74番地7の
[00:17:19] 岡田智行氏を任命いたしたく提案させて
[00:17:22] いただくものであります。岡田市は昭和
[00:17:26] 53年12月生まれの47歳でございます
[00:17:30] 。続きまして議案第40号では新徳
[00:17:36] 農業委員会委員に新徳長西一条北1丁目
[00:17:41] 37番地の
[00:17:43] 夕方平士を任命いたしたく提案させて
[00:17:47] いただくものであります。
[00:17:49] 市は昭和57年7月生まれの43歳で
[00:17:53] ございます。続きまして議案第41号では
[00:17:59] 農業委員会委員に新徳長くったり西一線
[00:18:04] 85番の坂本明市を任命いたしたく提案を
[00:18:09] させていただくものであります。坂本市は
[00:18:12] 昭和38年11月生まれの62歳でござい
[00:18:16] ます。続きまして議案第42号では農業
[00:18:22] 委員会委員に新徳長くったり谷東37番地
[00:18:28] 2の橋本高を任命いたし
[00:18:33] ていただくものであります。橋本市は昭和
[00:18:36] 58年5月生まれの43歳でございます。
[00:18:42] 続きまして議案第43号では農業委員会
[00:18:46] 委員に新徳長元町36番地の上田正仁俊を
[00:18:52] 任命いたしたく提案をさせていただくもの
[00:18:56] であります。上出しは昭和43年12月
[00:19:00] 生まれの57歳でございます。続きまして
[00:19:04] 議案第44号では農業委員会委員に新徳長
[00:19:09] 上郎選
[00:19:11] 86番17の岩刑事氏を任命いたしたく
[00:19:16] 提案をさせていただくものであります。岩
[00:19:19] 市は昭和40年1月生まれの61歳で
[00:19:23] ございます。各農業委員会委員者の経歴に
[00:19:28] つきましては12ページの一覧をご覧
[00:19:31] いただきたいと思います。
[00:19:34] ただいまご提案をいたしました10議件に
[00:19:37] つきましては7月19日を持って人気満料
[00:19:41] に伴うものでありますがそれぞれ農地行政
[00:19:45] に出権を許しており、農業院として的任と
[00:19:49] 存じますので、選任をいたし
[00:19:56] ますようお願い申し上げます。
[00:19:58] 以上で議案第35号から議案第
[00:20:02] 44
[00:20:02] 号までの説明を終わりますがよろしくお願いいたします。
[00:20:22] 説明が終わりました。これより人事案件に
[00:20:25] つき質疑討論を省略し採決を行います。
[00:20:30] 議案第35号農業委員会委員の任命同員に
[00:20:34] ついて採決いたします。お諮かりいたし
[00:20:37] ます。本件は県案の通り同意することに
[00:20:41] ございませんか?
[00:20:43] 意義なしと認めます。よって第あ、え、
[00:20:47] よって議案第35号は案の通り統一する
[00:20:51] ことに決しました。次に議案第36号農業
[00:20:56] 委員会委員の任命同員について採決いたし
[00:20:59] ます。他お諮りいたします。本件は原案の
[00:21:03] 通り同意することにご異議ございませんか
[00:21:05] ?
[00:21:07] 異議なしと認めます。よって
[00:21:11] 議案第36号は現の通り同することに決し
[00:21:14] ました。次に議案第37号農業委員会委員
[00:21:20] の任命同意について採決いたします。
[00:21:24] お諮りいたします。本件は原案の通り
[00:21:26] 同意することにご異議ございませんか?
[00:21:29] 異議なしと認めます。
[00:21:33] よって議案第37号は案の通りすることに
[00:21:37] 決しました。次に議案第38号農業委員会
[00:21:42] 委員の任命同員について採決いたします。
[00:21:46] お諮りいたします。
[00:21:47] 本件は案の通り統意することにご異議ございませんか?
[00:21:53] 異なしと認めます。よって議案第
[00:21:56] 38
[00:21:56] 号は通り同意することに決しました。次に議案第
[00:22:03] 39
[00:22:04] 号農業委員会委員の任命同意についてを採決いたします。お諮りいたします。
[00:22:11] 本件は件原案の通り統意することにご異議ございませんか?
[00:22:17] 意義なしと認めます。よって議案第
[00:22:20] 39
[00:22:21] 号は現案の通り同意することに決しました。次に案農業委員会委員の任命同員についてを採決いたします。お諮りいたします。本件は原案の通り同意することにご異議ございませんか?
[00:22:39] 異なしと認めます。
[00:22:41] よって案第40は原案の通り同意すること
[00:22:45] に決しました。
[00:22:47] 次に案第41号農業委員会委員の任命同員
[00:22:52] について採決いたします。お諮かりいたし
[00:22:56] ます。本件は原案の通り同意することに
[00:22:58] ご異議ございませんか?
[00:23:01] 異議なしと認めます。よって規号は件案の
[00:23:06] 通り同意することに決しました。次に規範
[00:23:10] 第42号農業委員会委員の任命同員につい
[00:23:14] てを採決いたします。お諮かりいたします
[00:23:17] 。本件は原案の通り同意することにご異議
[00:23:20] ございませんか?
[00:23:22] 異議なしと認めます。よって議案第42号
[00:23:26] は案の通りすることに決しました。次に基
[00:23:32] 号農業委員会委員の任命同員について採決
[00:23:37] いたします。お諮りいたします。本件は
[00:23:40] 原案の通り同意することにご異議ござい
[00:23:43] ませんか?
[00:23:45] 異議なしと認めます。よって案第43号は
[00:23:49] 案の通り同意することに決しました。次に
[00:23:53] 案第44号農業委員会委員の任命度通りに
[00:23:58] ついて採決いたします。お諮りいたします
[00:24:01] 。本件は原案の通り同意することにご異議
[00:24:04] ございませんか?
[00:24:07] 異議なしと認めます。よって案第44号は
[00:24:11] 案の通り同意することに決しました。
[00:24:15] 日程第8議案第45号工事のついて議題と
[00:24:22] してます。提案者からの説明を求めます。
[00:24:27] 福原総務課長
[00:24:29] はい
[00:24:42] 議案第45
[00:24:44] 号事受追い契約の締結につきましてご説明をします。
[00:24:50] 1契約の目的でありますが農業水路等超
[00:24:55] 寿命化防災減細事業地区雑用水施設回収
[00:25:01] 工事でございます。
[00:25:04] 2契約の方法は3者による指名競争入札で
[00:25:08] ございます。
[00:25:10] 3契約の金額5126万円
[00:25:14] 。4契約の相手方といたしまして新徳長
[00:25:20] 西一条南1丁目51番地2古川建設
[00:25:26] 株式会社
[00:25:28] 代表取締り役古川正でございます。なお
[00:25:33] 後期は令和8年12月18日としており
[00:25:38] ます。
[00:25:40] 2ページ以降に資料といたしまして、工事
[00:25:43] 概要一図、路線一位一図を添付しており
[00:25:48] ます。
[00:25:50] 以上で説明を終わりますが、ご審議のほど
[00:25:53] よろしくお願い申し上げます。
[00:26:09] これから質疑に入ります。質疑ありましたら発言を許します。これを持って質疑を集結いたします。本件について討論はありませんか?討論はないようですんで、これから議案第
[00:26:25] 45
[00:26:26] 号を採決いたします。本件は原案の通り決することに賛成議員の挙を求めます。挙種全員であります。
[00:26:37] よって議案第45号は原案の通り可決
[00:26:41] いたしました。
[00:26:43] 日程第9議案第46号先結条文の承認に
[00:26:49] ついて議題といたします。提案者から提案
[00:26:53] の説明を求めます。市川水道課長
[00:27:14] 議案第46号先結分の承認についてご説明
[00:27:18] 申し上げます。2ページをご覧ください。
[00:27:23] 先結処分書調税条例の一部を改正する条例
[00:27:27] の制定について地方自治法第179条第1
[00:27:32] 項の規定により先結処分をしたもので
[00:27:34] ございます。え、7ページをご覧ください
[00:27:37] 。
[00:27:41] 集団にあります提案理由でございますが、
[00:27:44] 地方税法及び地方税法等の一部を改正する
[00:27:47] 法律の一部を改正する法律、地方税法施工
[00:27:51] 例等の一部を改正する、え、政令並びに
[00:27:54] 地方税法施工規則及び地方税法施工規則の
[00:27:58] 一部を改正する等の奨励の一部を改正する
[00:28:01] 奨励地方税法施工規則の一部を改正する等
[00:28:05] の奨励地方税法施工規則の一部を改正する
[00:28:09] 等の省奨励及び地方税施工規則の一部を
[00:28:12] 改正する奨励が令和8年4月1日から施行
[00:28:15] されることに伴い本条例の一部を改正
[00:28:18] しようとするものであります。改正内容で
[00:28:22] ございますが、え、第18条の3、第19
[00:28:26] 条、第80条、第81条、第81条の3、
[00:28:31] 第81条の4、第81条の5、第81条の
[00:28:37] 6、第81条の7、第81条の8、第82
[00:28:42] 条、第83条、第85条、第87条、第
[00:28:49] 88条、第89条、第90条、第91条、
[00:28:55] 不足第15条の4不足第15条の5、不足
[00:29:00] 第15条の6不足第16条、不足第16条
[00:29:06] の2関係では軽自動車税環境性能割の廃止
[00:29:10] に伴う規定の整備をするものであります。
[00:29:15] 規則第8条関係では肉の売却による事業
[00:29:19] 所得にかかる町民税の課税特例の適用期限
[00:29:22] にかかる規定の整備をするものであります
[00:29:24] 。不足第10条の2関係では回収特別特定
[00:29:29] 建築物にかかる課税表示の特例措置の我が
[00:29:33] 町特例の割合を定める規定の新設並びにれ
[00:29:37] の反栄をするものであります。
[00:29:41] 第17条の2関係では有料住宅地の増成等
[00:29:45] のために土地等を譲渡した場合の長期譲渡
[00:29:48] 所得にかかる課税特例の適用期限にかかる
[00:29:51] 規定の整備をするものであります。不足第
[00:29:55] 7条の3不足第7条の3の2不則第10条
[00:30:00] の3不第16条の3不第16条の4不則第
[00:30:06] 17条不則第18条不則第19条不則第
[00:30:11] 20条不足第20条の2不足第20条の3
[00:30:16] 関係では法律改正に合わせて公連れ及び
[00:30:20] 規定の削除に伴う規定の整理をするもので
[00:30:23] あります。
[00:30:24] 6ページに戻りまして、
[00:30:28] 下段にあります不足でございますが、第1
[00:30:30] 条では施工記述を、第2条では固定資産税
[00:30:34] に関する経過措置、第3条では軽自動車税
[00:30:37] に関する経過措置をそれぞれ定めており
[00:30:40] ます。調例本部については朗読を省略させ
[00:30:44] ていただきます。以上で説明を終わります
[00:30:46] がよろしくご審議の上ご承認をお願い
[00:30:49] いたします。
[00:31:07] これから質疑に入ります。質疑入りまし
[00:31:10] たら発言を許します。
[00:31:14] これを持って質疑を集結いたします。本件
[00:31:17] について討論はありませんか?
[00:31:22] 討論はないようです。で、これから議案第
[00:31:25] 46号を採決いたします。本件はこれを
[00:31:29] 承認することに賛成議員の挙を求めます。
[00:31:35] 挙種全員でありますよって議案46号は
[00:31:40] これを承認することに決しました。
[00:31:43] 日程第10議案第47号選結処分の承認に
[00:31:49] ついてを議題といたします。
[00:31:51] 提案者から提案流の説明を求めます。石川全務水課長案第
[00:32:15] 47
[00:32:16] 号先結処分の証認についてご説明申し上げます。
[00:32:20] 2ページをご覧ください。
[00:32:24] 先結処分書民健康保険税条例の一部を改正
[00:32:28] する条例の制定について地方自治法第
[00:32:31] 179条第1項の規定により先結処分をし
[00:32:35] たものでございます。3ページをご覧
[00:32:38] ください。提案理由でございますが、地方
[00:32:41] 税法施工例等の一部を改正する政令が令和
[00:32:45] 8年4月1日から施工されることに伴い
[00:32:48] 国民健康保険税の課税限度額の引き上げ
[00:32:51] 及び低所得者にかかる国民保険あ国民健康
[00:32:55] 保険税軽減の拡充が図られるため本条例の
[00:32:59] 一部を改正しようとするものであります。
[00:33:03] 改正内容でございますが、第2条関係では
[00:33:06] 国民健康保険税の課税限度額の見直しで
[00:33:10] 基礎課税額の上限を66万円から1万円
[00:33:14] 引き上げ67万円に改正し、え、子供
[00:33:17] 子育て支援納付金分が申設され、上限額を
[00:33:21] 3万円とするものであります。第23条
[00:33:25] 関係では低所得者の国民健康保険税を軽減
[00:33:28] するため軽減判定所得の基準の見直しを
[00:33:32] 行うもので5割軽減判定所得基準では非
[00:33:36] 保険者1人につき加算する金額を
[00:33:39] 30万円5000円
[00:33:41] から5000円引き上げ31万円に改正し
[00:33:45] 2割軽減判定所得基準では同じく加算する
[00:33:48] 金額を56万円から1万円引き上げ
[00:33:52] 57万円に改正するものであります。2
[00:33:55] ページに戻りまして、下段にあります不足
[00:33:59] でございますが、第1項では施工技術を、
[00:34:02] 第2項では適用区分をそれぞれ定めており
[00:34:05] ます。条例本部については朗読を省略させ
[00:34:09] ていただきます。以上で説明を終わります
[00:34:11] がよろしくご審議の上ご承認をお願い
[00:34:13] いたします。
[00:34:31] これから質疑に入ります。質疑ありまし
[00:34:33] たら発言をよろします。
[00:34:37] これを持って質疑を集結いたします。本件
[00:34:40] について討論はありませんか?
[00:34:44] 討論はないようですんで、これから議案第
[00:34:47] 47号を採決いたします。本件はこれを
[00:34:51] 承認することに賛成議員の挙を求めます。
[00:34:56] 挙種全員でありますよって議案第47号は
[00:35:01] これを承認することに決しました。
[00:35:06] 日程第11議案第48号先結諸の承認に
[00:35:11] ついてお議題といたします。
[00:35:15] 提案者から提案理由の進めを求めます。
[00:35:18] 田中副長
[00:35:29] 議案第48
[00:35:30] 号先結処分の承認についてご説明申し上げます。
[00:35:34] 2ページをお開き願います。
[00:35:37] 先結処分令和7年度新徳庁一般会計補正
[00:35:42] 予算先結第2号につきまして地方自事法第
[00:35:46] 179条第1項の規定により別死の通り
[00:35:50] 先結処分をしたものでございます。3
[00:35:54] ページをご覧ください。第1条歳入歳出
[00:35:58] 予算の総額から歳入歳出それぞれ
[00:36:02] 5517万2000円
[00:36:04] を減額し、歳入歳出予算の総額を歳入歳出
[00:36:09] それぞれ87億6495万2000円
[00:36:13] とするものでございます。第2条地方祭の
[00:36:17] 変更は第2地方再補正によるものでござい
[00:36:22] ます。24ページ出をお開き願います。
[00:36:32] 2間総務費財政調整基金の24節積み立て
[00:36:37] 金では今回補正の財源調整として減額して
[00:36:42] ございます。企画費の24節て金及び公共
[00:36:47] 施設整備基金費の24節積み立て金では
[00:36:52] 寄付がありましたので故郷思いやり基金
[00:36:56] 積み立て金及び公共施設整備基金積み立て
[00:36:59] 金を増額しております。25ページ3巻
[00:37:04] 民請費福祉対策費の27節繰金では国民
[00:37:09] 健康保険事業介護保険の各特別会計の決算
[00:37:15] 見込みにより繰り出し金を減額しており
[00:37:18] ます。
[00:37:20] 後期高齢者医療費27節繰金におきまして
[00:37:24] も決算見込みにより後期高齢者医療特別
[00:37:28] 会計
[00:37:31] 基準繰り出し金を減額しております。26
[00:37:34] ページに移りまして6巻農林水産業費臨振
[00:37:40] の24節積み立て金では森林環境税の交付
[00:37:45] 額の確定により森林環境税基金積み立て金
[00:37:50] を減額しております。
[00:37:53] 27ページ7巻商行費商興の10節需要費
[00:38:02] 11節務費12節委託量では故郷納税に
[00:38:07] かかる経費の実績見込みによりそれぞれ
[00:38:10] 減額をしております。29ページをご開き
[00:38:14] 願います。
[00:38:17] 出教育費、社会教育総務費の24節
[00:38:22] 積み立て金では寄付がありましたので、
[00:38:25] 文化スポーツ振興積み立て金を新たに計上
[00:38:29] しております。10ページに、え、戻り
[00:38:33] まして再入をお開き願います。
[00:38:41] 2巻地方乗用税から18ページの12巻
[00:38:46] 交通安全対策特別交付金までの各間につき
[00:38:49] ましては交付額の確定に伴いそれぞれ増額
[00:38:54] または減額をしております。19ページに
[00:38:57] 移りまして、15巻国出金民費負担金では
[00:39:03] 国民健康保険の基盤安定繰金の繰金の確定
[00:39:08] によりそれぞれ増額または減額をしており
[00:39:12] ます。20ページをお開き願います。
[00:39:18] 16巻同支出金民費負担金では国民健康
[00:39:23] 保険及び後期高齢者医療保険の基盤安定
[00:39:28] 繰歴
[00:39:30] によりそれぞれ増額または減額をしており
[00:39:34] ます。21ページに移りまして18巻寄付
[00:39:38] 金の総務費寄付金では故郷納税の寄付実績
[00:39:42] に伴い増額をしております。22ページを
[00:39:46] お開き願います。
[00:39:50] 19間繰歴
[00:39:54] して財政調整基金繰歴を減額しております
[00:39:58] 。23ページに移りまして22巻調査では
[00:40:03] 記載対象事業の事業費の確定等により減額
[00:40:07] をしております。7ページをお開き願い
[00:40:10] ます。
[00:40:15] 第2地方補正は記載対象
[00:40:18] 事業費の確定に
[00:40:19] 伴う限度額の変更でございます。以上で説明を終わりますがよろしくご審議のほどお願い申し上げます。
[00:40:39] これから質疑に入ります。質疑ありましたら発言を許します。
[00:40:45] これを持って質疑を集結いたします。本件
[00:40:48] について討論はありませんか?
[00:40:52] 討論はないようですんで、これから議案第
[00:40:55] 48号を採決いたします。本件はこれを
[00:40:59] 承認することに賛成議員の挙を求めます。
[00:41:05] 挙種全員でありますよって気案第48号は
[00:41:09] これを承認することに決しました。日程第
[00:41:13] 12議案第49
[00:41:16] 号先結処分の承認についてを議題といたします。提案者から提案理由の説明を求めます。中副長
[00:41:35] 議案第49
[00:41:36] 号先結処分の証認についてご説明申し上げます。
[00:41:40] 2ページをお開き願います。
[00:41:43] 先結文令和7年度新徳庁国民健康保険事業
[00:41:48] 特別会計補正予算先結第1号につきまして
[00:41:53] 地方自事法第179条第1項の規定により
[00:41:58] 別死の通り先結処分をしたものでござい
[00:42:01] ます。
[00:42:02] 次のページに移りまして、この補正予算は
[00:42:06] 第1条で歳入歳出予算の総額から歳入歳出
[00:42:11] それぞれ7652万円
[00:42:14] を減額し、歳入歳出予算の総額を歳入歳出
[00:42:18] それぞれ5億1197万4000円
[00:42:23] とするものでございます。12ページ再出
[00:42:26] をお開き願います。
[00:42:31] 1巻、総務費から18ページの5巻保険
[00:42:36] 事業費までの各品目におきまして医療費等
[00:42:40] の実績によりそれぞれ減額をしております
[00:42:43] 。20ページをお開き願います。
[00:42:51] 6巻基金積み立て金では今回の財源調整と
[00:42:56] して国民健康保険事業基金積み立て金を
[00:43:00] 増額してございます。21ページに移り
[00:43:03] まして、7巻支出金では実績により税幹付
[00:43:08] 金を減額しております。8ページに戻り
[00:43:11] まして再入をお開き願います。
[00:43:17] 一貫、国民健康保険税では課税実績により
[00:43:22] 増額をしております。9ページに移りまし
[00:43:25] て2巻国支出金及び10ページの3巻同
[00:43:29] 支出金では実績及び交付決定に基づき
[00:43:34] それぞれ減額をしてございます。11
[00:43:37] ページの5巻繰金の一般会計繰金では医療
[00:43:42] 費及び事業費の実績によりそれぞれ増額
[00:43:46] または減額をしており基金繰歴は今回の
[00:43:51] 補正の財源調整のため減額をしております
[00:43:54] 。以上で説明を終わりますがよろしくご
[00:43:58] 審議のほどお願いいたします。
[00:44:10] これから質疑に入ります。質疑ありまし
[00:44:12] たら発言を許します。
[00:44:15] これを持って質疑を集結いたします。本件
[00:44:19] について討論はありませんか?
[00:44:23] 討論はないようですんで、これから議案第
[00:44:27] 49号を採決いたします。本件はこれを
[00:44:30] 承認することに賛成議員の挙種を求めます
[00:44:34] 。
[00:44:36] 挙州全員であります。よって議案第49号
[00:44:40] はこれを承認することに決しました。日程
[00:44:44] 第13議案第50号選結処分の承認につい
[00:44:50] てき題といたします。提案者から提案理由
