# source: https://www.youtube.com/watch?v=NhGrh81lhMc
# video_id: NhGrh81lhMc
# fetched: 2026-07-10T09:35:13.826Z
# segments: 555

[00:00:30] 朝礼を行います
[00:09:59] [鼻息]
[00:10:04] これから質疑に入ります質疑入りましたら
[00:10:06] 発言を許します
[00:10:08] 9番福原友行議員
[00:10:11] はいあの1点だけ確認ですがえ今納期に
[00:10:14] ついては3月31日ということがありまし
[00:10:17] たけどもえ今年のあの除雪シーズンには
[00:10:20] 使える予定があるのかどうかそれからあの
[00:10:23] 購入に際しまして現行で使われてるえ同車
[00:10:27] についてはえ売却なのかもしくは譲車なの
[00:10:30] かそれを確認をお願いいたします
[00:10:37] 縄田施設課長
[00:10:42] はいお答えいたします納期についてですが
[00:10:45] 今のところは現車はなんとか年内には確保
[00:10:49] できそうなえ方向ではありますあと
[00:10:53] 付属のえ付帯
[00:10:56] う
[00:10:57] 部品の取り付けだですとか今の塗装一部
[00:11:00] 塗装が入り入っておりますので塗装の塗料
[00:11:03] の方があのちょっと調達困難ということで
[00:11:07] 今納期の方は年度内は確定してるんです
[00:11:09] けども納期の方は今不明でございますあと
[00:11:13] 現車でございますがえ今後あの所管外にて
[00:11:17] 駐車場と
[00:11:18] であの所管あ所管外にてあの再利用という
[00:11:22] ことでえ計画しております以上です
[00:11:26] よろしいですか
[00:11:28] はい他に
[00:11:31] これをもって質疑を終結いたします本件に
[00:11:34] ついて討論はありませんか
[00:11:38] 討論はないようですんでこれから議案第
[00:11:40] 57号を採決いたします
[00:11:43] 本件は議案の通り決することに賛成議員の
[00:11:46] 挙手を求めます
[00:11:49] 挙手全員でありますよって議案第57号は
[00:11:54] 議案の通り可決されました
[00:11:57] 日程第5
[00:11:59] 議案第58号物品購入契約の
[00:12:03] 締結についてを議題といたします
[00:12:06] 提案者から提案理由の説明を求めます新井
[00:12:09] 学校教育課長
[00:12:25] 議案第58号物品購入契約の締結につき
[00:12:29] ましてご説明いたします
[00:12:32] 契約の目的はタブレット端末購入でござい
[00:12:35] ます
[00:12:36] 本機器は学校授業などで使用するもので
[00:12:39] ございます
[00:12:40] 2
[00:12:41] 購入契約をする物品及び数量ですが
[00:12:45] Windowsタブレット端末263台で
[00:12:48] ございます
[00:12:49] 3型式でありますがコンバーチブル型
[00:12:53] 富士通ライフブックU3114X
[00:12:57] でございます
[00:12:59] 4契約の方法でありますが北海道共同調達
[00:13:03] 会議による入札により決定した1者との
[00:13:06] 随意契約でございます
[00:13:08] 5契約の金額
[00:13:11] 1813万9100
[00:13:14] 円でございます
[00:13:17] 6契約の相手方といたしまして帯広市西
[00:13:20] 19条南1丁目4番地22
[00:13:24] 大丸株式会社道東支店支店長吉田雄二郎で
[00:13:29] ございます
[00:13:31] なお納期につきましては令和8年12月
[00:13:34] 18日としております
[00:13:37] 次の2ページに資料といたしまして学校別
[00:13:41] 使用者別の購入台数内訳と
[00:13:44] 端末の仕様について掲載をしてございます
[00:13:49] 以上で説明終わりますがご審議のほど
[00:13:51] よろしくお願いいたします
[00:14:04] これから質疑に入ります質疑ありましたら
[00:14:07] 発言を許します
[00:14:11] これをもって質疑を終結いたします
[00:14:14] 本件について討論はありませんか
[00:14:17] 討論はないようですんでこれから議案第
[00:14:20] 58号を採決いたします
[00:14:23] 本件は原案の通り可決することに賛成議員
[00:14:26] の挙手を求めます
[00:14:30] 挙手全員であります
[00:14:32] よって議案第58号は原案の通り可決され
[00:14:36] ました
[00:14:39] 日程第6議案第59号
[00:14:43] 令和
[00:14:45] 8年度新得町一般会計補正予算についてを
[00:14:48] 議題といたします
[00:14:50] 提案者から提案理由の説明を求めます
[00:14:53] 田中田中副町長副町長
[00:15:08] 議案
[00:15:09] 第59号令和8年度新得町一般会計補正
[00:15:13] 予算第3号につきましてご説明申し上げ
[00:15:17] ます
[00:15:18] 第1条歳入歳出予算の総額に歳入歳出
[00:15:22] それぞれ1億4818万5000円
[00:15:26] を追加し歳入歳出予算の総額を歳入歳出
[00:15:31] それぞれ92億927万2000円
[00:15:35] とするものでございます
[00:15:38] 第2条
[00:15:39] 継続費の変更は第2表継続費の補正による
[00:15:43] ものでございます
[00:15:45] 第3条債務負担行為の追加は
[00:15:48] 第3条債務負担行為補正によるもので
[00:15:51] ございます
[00:15:53] 第4条地方債の変更は第4表
[00:15:58] 地方債補正によるものでございます11
[00:16:01] ページ歳出をお開きください
[00:16:08] 2官総務費企画費の12節委託料では職員
[00:16:13] の業務量を可視化する調査ツールを新たに
[00:16:17] 導入し
[00:16:19] 業務のDXを推進するためDX推進支援
[00:16:23] 業務委託料を増額しております
[00:16:27] 14節公有財産費では現在建設中の温浴
[00:16:31] 宿泊施設が中東情勢の影響を受け
[00:16:36] 資材単価及び労務単価の上昇により
[00:16:39] インフレスライドを適用することから
[00:16:42] 駅前周辺再整備温浴宿泊施設建設工事費を
[00:16:48] 増額しております
[00:16:50] 住民活動費の18節負担金補助及び交付金
[00:16:54] では夢基金事業の今後の事業申請の要望に
[00:16:59] 応えられるよう夢基金事業補助金を増額し
[00:17:02] ております
[00:17:04] 12ページをお開き願います
[00:17:08] 4官衛生費予防費
[00:17:11] 10節の需要費では旧新得クリニックの
[00:17:15] 経年劣化に伴う雨樋のひび割れ等の修繕
[00:17:20] 及びMRI関連機器の経年劣化部品交換の
[00:17:24] ため修繕料を増額しております
[00:17:28] 18節負担金補助及び交付金では町内歯科
[00:17:32] 医院の
[00:17:34] 医療機器更新に伴う支援事業の申請があり
[00:17:37] ましたので
[00:17:39] 医療機器等支援補助金を増額しております
[00:17:44] 13ページに移りまして
[00:17:47] 6款農林水産業費
[00:17:50] 畜産業費10節
[00:17:53] 需用費では第13回全国和牛能力共進会
[00:17:58] 北海道大会
[00:18:00] 2027のPRを目的とした懸垂幕の作成
[00:18:06] にかかる費用として消耗品費を増額して
[00:18:10] おります9ページに戻りまして歳入をご覧
[00:18:14] ください
[00:18:20] 19款繰入金では今回の補正の財源調整の
[00:18:24] ため
[00:18:25] 財政調整基金繰入金を増額し夢基金事業の
[00:18:30] 財源として夢基金繰入金を医療機器等
[00:18:35] 支援事業の財源として保健医療福祉基金
[00:18:40] 繰入金をそれぞれ増額しております10
[00:18:44] ページをお開き願います
[00:18:47] 22款町債では
[00:18:49] 駅前周辺再整備温浴宿泊施設建設事業の
[00:18:54] 財源に充てるため町債を増額してござい
[00:18:57] ます4ページをお開き願います
[00:19:03] 第2表継続費の補正では駅前周辺再整備
[00:19:07] 温浴宿泊施設建設工事費の補正に伴い
[00:19:12] 総額を増額し
[00:19:15] 令和8年度の
[00:19:17] 年割額を変更しておら変更しております
[00:19:21] 5ページに移りまして第3表債務負担行為
[00:19:24] 補正では当初予算で計上いたしました
[00:19:28] 公共施設のLED照明器具照明器具
[00:19:33] 賃借事業を
[00:19:36] 公募型
[00:19:37] プロプロポーザル方式で実施することが
[00:19:41] 決まったことから令和8年度から令和17
[00:19:45] 年度までの
[00:19:47] 負担する費用の限度額を定め債務負担行為
[00:19:50] を追加しております
[00:19:53] 6ページをお開き願います
[00:19:57] 第4表地方債の補正では駅前周辺再整備
[00:20:02] 施設建設事業債の起債限度額を変更して
[00:20:06] おります以上で説明終わりますがよろしく
[00:20:09] ご審議のほどをお願いいたします
[00:20:22] これから質疑に入ります質疑ありましたら
[00:20:24] 発言を許します
[00:20:28] これをもって質疑を終結いたします
[00:20:31] 本件について討論はありませんか
[00:20:35] 討論はないようですんでこれから議案第
[00:20:38] 59号を採決いたします
[00:20:41] 本件は議案の通り決することに賛成議員の
[00:20:44] 起立を求めます
[00:20:47] 起立全員であります
[00:20:49] よって議案第59号は議案の通り可決され
[00:20:53] ました
[00:20:55] 日程第7
[00:20:58] 議案第60号
[00:21:00] 議員派遣の件を議題といたします
[00:21:03] お諮りいたします本件については会議規則
[00:21:06] 第39条第2項の規定により
[00:21:10] 提案理由の説明を省略することにいたし
[00:21:13] たいと思いますこれにご異議ございません
[00:21:15] か
[00:21:17] 異議なしと認めます
[00:21:19] よって本件については提案理由の説明を
[00:21:22] 省略することに決しました
[00:21:24] 本件は原案の原案の通り実施することとし
[00:21:28] これからこれらにかかる
[00:21:30] 議員の出張並びに細部の取り扱いは
[00:21:33] あらかじめ議長に一任願いたいと思います
[00:21:37] これにご異議ございませんか
[00:21:41] 異議なしと認めます
[00:21:43] よって議案第60号は原案の通り実施する
[00:21:47] 実施することとし
[00:21:49] これらにかかる議員の出張並びに細部の
[00:21:52] 取り扱いはあらかじめ議長に一任すること
[00:21:56] に決しました
[00:21:59] 日程第8
[00:22:01] 意見案第1号
[00:22:03] ゼロカーボン北海道の実現に資する森林
[00:22:06] 林業木材産業施策の充実強化を求める意見
[00:22:11] 書を議題といたします
[00:22:14] お諮りいたします本件については別紙報告
[00:22:17] 書の通りであります
[00:22:19] 委員長の報告説明は会議規則第
[00:22:23] 41条第3項の規定により省略することに
[00:22:26] いたしたいと思いますいたいた
[00:22:29] 失礼
[00:22:30] 省略することにいたします
[00:22:32] これにご異議ございませんか
[00:22:35] 異議なしと認めます
[00:22:37] よって本件については報告書の説明を省略
[00:22:40] することに決しました
[00:22:42] 本件について質疑はございませんか
[00:22:47] これをもって質疑を終結いたします
[00:22:49] 本件について討論はありませんか
[00:22:52] 討論はないようですんでこれより意見案第
[00:22:55] 1号を採決いたします
[00:22:58] 本件に関する委員長の報告は原案可決で
[00:23:01] あります
[00:23:03] 本件は委員長の報告の通り決することに
[00:23:06] 賛成議員の挙手を求めます
[00:23:10] 挙手全員であります
[00:23:13] よって意見案第1号は委員長の委員長の
[00:23:16] 報告通りとすることに決しました
[00:23:23] 日程第9意見案第2号
[00:23:27] 地方財政の充実強化に関する意見書をお
[00:23:30] 諮りといたします
[00:23:32] お諮りいたします本件については別紙報告
[00:23:35] 書の通りであります
[00:23:37] 委員長の報告説明は会議規則第41条第3
[00:23:41] 項の規定により
[00:23:43] 書省略することにいたしますこれにご異議
[00:23:46] ございませんか
[00:23:48] 異議なしと認めますよって本件については
[00:23:51] 報告書の説明を省略することに決しました
[00:23:55] 本件について質疑はございませんか
[00:23:59] これをもって質疑を終結いたします
[00:24:02] 本件について討論はありませんか
[00:24:05] これ討論はないようですのでこれより意見
[00:24:08] 案第2号を採決いたします
[00:24:11] 本件に関する委員長の報告は原案可決で
[00:24:14] あります
[00:24:15] 本件は委員長の報告通り決することに賛成
[00:24:18] 議員の挙手を求めます
[00:24:22] 挙手全員でありますよって意見案第2号は
[00:24:27] 委員長の委員長の報告通りとすることに
[00:24:30] 決しました
[00:24:32] 日程第10意見案第3号
[00:24:36] 2026あ2006年
[00:24:39] あ失礼2026年
[00:24:43] あ2026年度北海道最低賃金
[00:24:47] 改定等に関する意見書をお諮りといたし
[00:24:50] ますお諮りいたします本件については
[00:24:54] 別紙報告書の通りであります委員長の報告
[00:24:57] 説明は会議規則第41条第3項の規定に
[00:25:01] より省略することにいたしますこれに異議
[00:25:04] ございませんか
[00:25:06] 異議なしと認めます
[00:25:08] よって本件については報告書の説明を省略
[00:25:11] することに決しました
[00:25:13] 本件について質疑はございませんか
[00:25:17] これをもって質疑を終結いたします本件に
[00:25:20] ついて討論はありませんか
[00:25:23] 討論はないようですんでこれより
[00:25:25] 意見案第3号を採決いたします本件に
[00:25:28] 関する委員長の報告は原案可決であります
[00:25:32] 本件は委員長の報告通り決することに賛成
[00:25:36] 議員の挙手を求めます
[00:25:39] 挙手全員でありますよって意見案第3号は
[00:25:43] 委員長委員長の報告通りとすることに決し
[00:25:46] ました
[00:25:51] 日程第11
[00:25:53] 意見案第4号義務教育費国庫負担制度堅持
[00:25:58] 負担率1/2への復元など
[00:26:02] 教育予算拡充と豊かな学びを求める意見書
[00:26:06] を議題といたします
[00:26:08] お諮りいたします本件については提出報告
[00:26:11] 書の通りであります委員長の報告説明は
[00:26:16] 会議規則第41条第3項の規定により省略
[00:26:20] することにいたします
[00:26:22] これに異議ございませんか
[00:26:24] 異議なしと認めますよって本件については
[00:26:28] 報告書の説明を省略することに決しました
[00:26:32] 本件について質疑はございませんか
[00:26:35] これをもって質疑を終結いたします
[00:26:38] 本件について討論はありませんか
[00:26:41] 討論はないようですんでこれより意見案第
[00:26:44] 4号を採決いたします
[00:26:47] 本件に関する委員長の報告は原案可決で
[00:26:50] あります本件は委員長の報告通り決する
[00:26:54] ことに
[00:26:55] 賛成議員の挙手を求めます
[00:26:59] 挙手全員であります
[00:27:01] よって意見案第4号は委員長の
[00:27:04] 委員長の報告通りにすることに決しました
[00:27:11] 日程第12意見案第5号
[00:27:15] 都教委これからの高校づくりに関する指針
[00:27:19] 改定版を
[00:27:22] 見直すべき
[00:27:24] 見直し全ての子供を豊かな学びを保証する
[00:27:28] 高校教育を求める意見書を議題といたし
[00:27:32] ます
[00:27:33] お諮りいたします本件については別紙報告
[00:27:36] 書の通りであります
[00:27:37] 委員長の報告説明は会議規則第41条第3
[00:27:42] 項の規定により
[00:27:43] 所省略することにいたしますこれにご異ご
[00:27:47] 異議ございませんか
[00:27:49] 異議なしと認めますよって本件については
[00:27:52] 報告書の説明を
[00:27:54] 省略することに決しました本件について
[00:27:56] 質疑はございませんか
[00:27:59] これをもって質疑を終結いたします
[00:28:02] 本件について討論はありませんか
[00:28:05] 討論はないようですんでこれより意見案第
[00:28:08] 5号を採決いたします
[00:28:11] 本件について
[00:28:13] 本件に関する委員
[00:28:15] あ失礼本件に関する委員長の報告は
[00:28:19] 原案可決であります本件は委員長の報告
[00:28:22] 通り決することに賛成議員の挙手を求め
[00:28:24] ます
[00:28:26] 挙手全員であります
[00:28:28] よって意見案第5号は委員長のの報告通り
[00:28:32] 報告通りにすることに決しました
[00:28:35] 日程第13意見案第6号
[00:28:39] 高額療養費制度の負担上限額引き上げの
[00:28:45] 撤回を求める意見書を議題といたします
[00:28:49] お諮りいたします本件については別紙報告
[00:28:52] 書の通りであります
[00:28:53] 委員長の報告説明は会議規則第41条第3
[00:28:58] 項の規定により省略することにいたします
[00:29:02] これにご異議ございませんか
[00:29:05] 異議なしと認めますよって本件については
[00:29:08] 報告書の説明を省略することに決しました
[00:29:12] 本件は
[00:29:13] 本件について質疑はございませんか
[00:29:17] これをもって質疑を終結いたします本件に
[00:29:20] ついて討論はありませんか
[00:29:23] 討論はないようですんでこれより意見案第
[00:29:25] 6号を採決いたします
[00:29:28] 本件に関する委員長の委員長の報告は原案
[00:29:31] 可決であります
[00:29:33] 本件は委員長の報告通り決することに賛成
[00:29:36] の議員の挙手を求めます
[00:29:40] 挙手全員であります
[00:29:42] よって意見案第6号は委員長の報告通り
[00:29:46] 通りとすることに決しました
[00:29:49] 日程第14意見案第7号
[00:29:53] 非非拡散
[00:29:58] 非非拡散原則の堅持と法制化を求める意見
[00:30:02] 書を議題といたしますお諮りいたします
[00:30:05] 本件については別紙報告書の通りであり
[00:30:08] ます
[00:30:09] 委員長の報告報告説明は会議規則第41条
[00:30:14] 第3項この規定により省略することに
[00:30:17] いたしますこれにご異議ございませんか
[00:30:21] 異議なしと認めますよって本件については
[00:30:24] 報告書の説明を省略することに決しました
[00:30:27] 本件について質疑はございませんか
[00:30:31] これをもって質疑を終結いたします本件に
[00:30:33] ついて討論はありませんか
[00:30:36] 討論はないようですんでこれより議案第あ
[00:30:40] 失礼意見書第7号を採決いたします
[00:30:47] えもてこれより意見案第7号を採決いたし
[00:30:50] ます
[00:30:51] 本件に関する委員長の報告は原案可決で
[00:30:54] あります本件は委員長の報告通り決する
[00:30:57] ことに賛成議員の挙手を求めます
[00:31:02] 挙手異議なしであります
[00:31:04] よって意見案第7号は委員長の委員長の
[00:31:09] 報告通りすることに決しました
[00:31:13] 日程第15
[00:31:16] 閉会中の継続審査及び調査の申し出につい
[00:31:19] てを議題といたします
[00:31:21] お諮りいたします各委員長から会議規則第
[00:31:25] 75条の規定により
[00:31:27] お手元に配布の通り申し出がありました
[00:31:31] 各委員長からの申し出の通り閉会中の継続
[00:31:34] 審査及び調査することにご異議ございませ
[00:31:37] んか
[00:31:39] 異議なしと認めます
[00:31:41] よって各委員長からの申し出の通り閉会中
[00:31:45] の継続審査及び調査することに決しました
[00:31:50] 以上をもって付議
[00:31:51] 付議された案件え案件の審議は全て
[00:31:56] あ失礼いたします本会議に付議されました
[00:31:58] 本案件の審議は全て終了いたしました
[00:32:05] これにて本会議に付議された案件の審査
[00:32:11] ん
[00:32:12] 審議は全て終了いたしまし
[00:32:14] あ
[00:32:15] 終了いたしました審議
[00:32:17] 本会議に付議された案件の審議は全て終了
[00:32:20] いたしましたよって令和8年定例第2回
[00:32:24] 新得町議会を閉会いたします
[00:32:27] 終礼を行います
[00:32:30] お疲れ様でした
[00:33:07] はい
